순번,회사명,공장대표주소(도로명),공장대표주소(지번),업종번호,업종명,관할조직명,생산품,주원자재
1,(주)굿채널시스템,"서울특별시 서대문구 통일로 408, 301호 (홍제동)",서울특별시 서대문구 홍제동 139-3번지,"26519, ",비디오 및 기타 영상기기 제조업,서울특별시 서대문구,방송및통신기기,
2,(주)동아일보사,"서울특별시 서대문구 충정로 29 (충정로3가, (주)동아일보사)",서울특별시 서대문구 충정로3가 139 번지,"58121, ",신문 발행업,서울특별시 서대문구,신문발행,종이
3,(주)두루스코,"서울특별시 서대문구 연희로 241, 2층 (연희동)",서울특별시 서대문구 연희동 163-1번지 2층,"26410, 26421, 26429, 26521, 28119, 28901",유선 통신장비 제조업 외 5 종,서울특별시 서대문구,"CCTV,통신장비,음향및방송장치, 배터리충전기제조, 전원공급장치제조(파워서플라이제조), 충전기제조(배터리용)","PCB회로기판,부품 금형,SMD, PCB 메인보드, 스토퍼외함, 운영프로그램"
4,(주)미도물산,서울특별시 서대문구 홍제천로 184 (연희동),서울특별시 서대문구 연희제2동 170-112번지,"14192, 13222, 13223, 13409, 14111, 14112, 14191, 14193, 14199, 14300, 14491, 14499, 25995, 25999","근무복, 작업복 및 유사의복 제조업 외 13 종",서울특별시 서대문구,경찰복및 신사복,원단
5,(주)서등,"서울특별시 서대문구 충정로6안길 29, 미근빌딩 2층 (미근동)",서울특별시 서대문구 미근동 72-3번지 미근빌딩 2층,"18111, 18113, 18119, 18121, 18122",경 인쇄업 외 4 종,서울특별시 서대문구,인쇄,
6,(주)수정전자산업,서울특별시 서대문구 통일로 352 (홍제동),서울특별시 서대문구 홍제동 35-1번지,"28112, ",변압기 제조업,서울특별시 서대문구,전자부품,"코아, 보빈, 와이"
7,(주)영화의료기,서울특별시 서대문구 성산로 263 (연희동),서울특별시 서대문구 연희동 446-304번지,"21300, ",의료용품 및 기타 의약 관련제품 제조업,서울특별시 서대문구,PVC의료기,PVC의료기
8,(주)예스바이오,"서울특별시 서대문구 모래내로 227, 지층 (남가좌동)",서울특별시 서대문구 남가좌동 331-36 번지 지층,"21300, ",의료용품 및 기타 의약 관련제품 제조업,서울특별시 서대문구,치과용귀금속합금 ,"금,은,동"
9,(주)조양유로,서울특별시 서대문구 세검정로 100-31 (홍제동),서울특별시 서대문구 홍제동 283-9번지,"14111, 14112, 14191, 14192, 14300",남자용 겉옷 제조업 외 4 종,서울특별시 서대문구,"남,여자용 정장 제조업등",
10,(주)케이지아인터내셔널,"서울특별시 서대문구 모래내로 461 (홍제동) 2충,3층","서울특별시 서대문구 홍제동 157-73 2충,3층","14192, 13221, 13223, 13229, 14111, 14112, 14120, 14191, 14194, 14199, 14300, 14499, 15129","근무복, 작업복 및 유사의복 제조업 외 12 종",서울특별시 서대문구,"기성복 및 방탄,방검복",섬유원단 일체
11,(주)코리아팩토리,서울특별시 서대문구 모래내로 461 (홍제동) 2층,서울특별시 서대문구 홍제동 157-73 2층,"14194, 13221, 13223, 13229, 14111, 14112, 14120, 14191, 14192, 14199, 14300, 14499, 15129",유아용 의복 제조업 외 12 종,서울특별시 서대문구,"기성복 및 방탄, 방검복",섬유원단 일체
12,골드패션,"서울특별시 서대문구 간호대로2길 3, 지하층 (홍제동)",서울특별시 서대문구 홍제동 285-35번지 지하층,"14199, ",그 외 기타 봉제의복 제조업,서울특별시 서대문구,의류제조,원단(면)
13,늘품장애인보호작업장,"서울특별시 서대문구 홍은중앙로 105, 2층 (홍은동)",서울특별시 서대문구 홍은동 9-323번지 2층,"26321, 18119",기억장치 제조업 외 1 종,서울특별시 서대문구,"usb, 기념품 인쇄",
14,동신섬유,서울특별시 서대문구 응암로 116 (북가좌동),서울특별시 서대문구 북가좌동 279-12번지,"14112, ",여자용 겉옷 제조업,서울특별시 서대문구,숙녀의류,원단(섬유)
15,매일환경,서울특별시 서대문구 가재울로6길 53-51 (남가좌동),서울특별시 서대문구 남가좌동 337-16번지,"29175, ",액체 여과기 제조업,서울특별시 서대문구,액체여과기,물
16,맵시나콜렉션주식회사,"서울특별시 서대문구 홍제내길 98, 2층 (홍제동)",서울특별시 서대문구 홍제동 361-35번지 2층,"14192, 14111, 14112, 14199","근무복, 작업복 및 유사의복 제조업 외 3 종",서울특별시 서대문구,의복,
17,명성브라인드,"서울특별시 서대문구 가좌로 94, 지하1층 (홍은동, 광명빌딩)",서울특별시 서대문구 홍은동 397-9번지 광명빌딩 지하1층,"13223, ",커튼 및 유사제품 제조업,서울특별시 서대문구,"커튼,블라인드",알루미늄 및 직물
18,산맥로스터리,"서울특별시 서대문구 증가로 213, 2층1호 (북가좌동, 동산타운빌딩)",서울특별시 서대문구 북가좌동 291-26번지 동산타운빌딩 2층1호,"10791, ",커피 가공업,서울특별시 서대문구,원두커피 제조,원두
19,성도교역,"서울특별시 서대문구 수색로8길 6-4, 지하(북가좌동)",서울특별시 서대문구 북가좌동 385-31 지하,"25999, 25113, 25119, 25932, 32091",그 외 기타 분류 안된 금속 가공 제품 제조업 외 4 종,서울특별시 서대문구,철탑추락방지장치,스테인리스 강선재
20,에어로스터 (AIR ROASTER),"서울특별시 서대문구 통일로 484 (홍제동) 유진상가, 유진아파트,공유캠퍼스 신지식산업센터 3층 307호","서울특별시 서대문구 홍제동 294-46 유진상가, 유진아파트,공유캠퍼스 신지식산업센터 3층 307호","28520, ",가정용 비전기식 조리 및 난방 기구 제조업,서울특별시 서대문구,가정 및 야외용 조리기구 외,"금속, 무기소재"
21,엠앨캐스트주식회사,서울특별시 서대문구 통일로9안길 9-6 (냉천동),서울특별시 서대문구 냉천동 169-1번지,"26299, 26291, 26292, 26293, 26294, 26295",그 외 기타 전자부품 제조업 외 5 종,서울특별시 서대문구,FCU Controller 과 자동제어기기,IC 와 반도체소자
22,이에스기획,"서울특별시 서대문구 모래내로 285, 현대빌딩 201호 (홍은동)",서울특별시 서대문구 홍은동 405-8번지,"33910, 18112, 18119, 25995, 28423, 31521",간판 및 광고물 제조업 외 5 종,서울특별시 서대문구,"현수막, 옥내외간판",
23,주식회사 비영,"서울특별시 서대문구 모래내로 239, 2층(남가좌동)",서울특별시 서대문구 남가좌동 330-14 2층,"27302, ","사진기, 영사기 및 관련 장비 제조업 ",서울특별시 서대문구,안면 피부 굴곡 진단기,"카메라, 케이스 및 외장재, 메인보드, 내부 격벽, 연결 케이블"
24,주식회사 이앤에스온,"서울특별시 서대문구 홍은중앙로 91, 3층 (홍은동)",서울특별시 서대문구 홍은동 11-972번지 3층,"33910, 18112, 18113, 18119, 25994, 28423",간판 및 광고물 제조업 외 5 종,서울특별시 서대문구,간판및광고물제조업,
25,주식회사 이화글로벌,"서울특별시 서대문구 이화여대3길 6, 1층 (대현동)",서울특별시 서대문구 대현동 56-20번지 1층,"26421, 26429, 28422",방송장비 제조업 외 2 종,서울특별시 서대문구,"CCTV, LED투광기",
26,천은기획인쇄사,"서울특별시 서대문구 거북골로22길 9-20, 지층 (북가좌동)",서울특별시 서대문구 북가좌동 319-10번지 지층,"18111, 18113",경 인쇄업 외 1 종,서울특별시 서대문구,인쇄,"종이,잉크"
27,청양기업,"서울특별시 서대문구 가재울로 53-9, 지하1층, 1층 (남가좌동)","서울특별시 서대문구 남가좌동 205-2번지 지하1층, 1층","13213, 18129, 25999",화학섬유직물 직조업 외 2 종,서울특별시 서대문구,인쇄물제조,인견
28,카리스텍,"서울특별시 서대문구 연희로 227, 2층 (연희동)",서울특별시 서대문구 연희동 142-5 번지 2층,"26299, 26295",그 외 기타 전자부품 제조업 외 1 종,서울특별시 서대문구,히터 부품,"보빙, 열선, sus pipe, lcp사출"
29,태룡 친환경 세제 주식회사,"서울특별시 서대문구 거북골로 16, 지층 (홍은동)",서울특별시 서대문구 홍은동 401-28번지 지층,"20422, ","치약, 비누 및 기타 세제 제조업",서울특별시 서대문구,다목적세정제,
30,태양사,"서울특별시 서대문구 연희로41가길 38, 1층 (홍은동)",서울특별시 서대문구 홍은동 206-4번지 1층,"33999, 31991",그 외 기타 달리 분류되지 않은 제품 제조업 외 1 종,서울특별시 서대문구,사시앰프,철판
31,한일상사(주),서울특별시 서대문구 서소문로 57 (합동),서울특별시 서대문구 합동 21-29번지,"18129, ",기타 인쇄관련 산업,서울특별시 서대문구,인쇄,종이
32,(주)세라트젠,서울특별시 서대문구 연세로 50 연세대학교 연세대공학원 332 ABC호,서울특별시 서대문구 신촌동 134 연세대학교 연세대공학원 332 ABC호,"20499, 21301","그 외 기타 분류 안된 화학제품 제조업,체외 진단 시약 제조업",서울특별시 서대문구,오가노이드 배양 소재(세포배양시약),"정제수, PBS버퍼, 콜라겐"
33,특전직업소개소,서울특별시 서대문구 북아현로1길 50 신촌푸르지오 상가 1동 1층 114호,서울특별시 서대문구 북아현동 1011 신촌푸르지오 상가 1동 1층 114호,25912,금속 단조제품 제조업,서울특별시 서대문구,조절형 받침대(자키베이스),강철(Steel)
34,주식회사 국제레저,서울특별시 서대문구 수색로8길 22 비101호,서울특별시 서대문구 북가좌동 385-11 비101호,13229,기타 직물제품 제조업,서울특별시 서대문구,"구명복, 구명줄, 구명용품","원단, 웨이빙, 로프"
