회사명,공장대표주소,업종명,생산품
(사)아름다운사람들,"서울특별시 성동구 뚝섬로1길 31, B202호(성수동1가, 서울숲  M타워) B202호",기타 인쇄관련 산업 외 4 종,인쇄출판물
(사)아름다운사람들 ,"서울특별시 성동구 뚝섬로1길 25, 7층 702호 (성수동1가) 7층 702호",기타 인쇄업 외 2 종,인쇄물
(사)장애인생산품판매지원협회인쇄사업소,"서울특별시 성동구 아차산로5길 24-27, 1,2층 (성수동2가)",경 인쇄업 외 4 종,인쇄물
(유)제이엔제이코퍼레이션명품점,서울특별시 성동구 왕십리로 58 (성수동1가) FORHU 119호,핸드백 및 지갑 제조업,"가죽가방, 신발"
(유)피투뱅가드코퍼레이션,"서울특별시 성동구 성수일로 111, B101호, B102호, B103호  (성수동1가) B101호, B102호, B103호",오프셋 인쇄업 외 1 종,"책자, 다이어리, 달력, 패키지상자"
(주) 뉴콤,"서울특별시 성동구 광나루로6길 20, 이글타운 7층 (성수동2가)",기타 주변기기 제조업 외 1 종,"번호인식솔루션, 무인교통감시장비"
(주) 세원정밀,"서울특별시 성동구 성수이로20길 43 (성수동2가, (주)G.K문화인쇄)",기타 인쇄업 외 1 종,전단양식지
(주) 스팀솔루션,"서울특별시 성동구 아차산로17길 49, 1동 1110호 (성수동2가) 1동 1110호","전자기 측정, 시험 및 분석기구 제조업 외 1 종","교육용장비, 계측장비, 3D프린터"
(주) 어핀텍,"서울특별시 성동구 아차산로 49, 504호(성수동1가, 서울숲 코오롱디지털타워 Ⅲ) 504호","물질 검사, 측정 및 분석기구 제조업",자동 핵산 추출기
(주) 울트라브이,"서울특별시 성동구 상원길 19, B102-104호 (성수동1가, 신한 IT TOWER)",의료용품 및 기타 의약 관련제품 제조업,조직수복용생체재료
(주) 이씨오,"서울특별시 성동구 광나루로6길 35, 우림e-BIZ센터 3층 (성수동2가)",기타 주변기기 제조업,컴퓨터입출력장치 및 주변기기
(주) 진씨커,"서울특별시 성동구 성수일로10길 26, 1202~1204호(성수동2가, 하우스디 세종타워) 1202~1204호",그 외 기타 분류 안된 화학제품 제조업,초정밀 비침습 암진단키드
(주) 프로씨스콤,"서울특별시 성동구 성수일로 77, 214, 215호 (성수동1가, 서울숲IT밸리)",방송장비 제조업 외 18 종,"유무선통신기기,케이블,배터리 외"
(주)가우정밀,"서울특별시 성동구 성수이로18길 45, 1층 (성수동2가)",그 외 기타 1차 철강 제조업 외 2 종,"버클, 단추, 지퍼, 자동차부품"
(주)가인이앤씨,"서울특별시 성동구 성수이로22길 37, 9층 907,908 (성수동2가, 성수동 아크밸리)",산업용 송풍기 및 배기장치 제조업 외 1 종,"방열기, 환기장치"
(주)거손테크,서울특별시 성동구 둘레길 45 (성수동1가),전시용 모형 제조업,"모형, 조형물, 전시물, 인테리어"
(주)건축음향연구센터,서울특별시 성동구 행당동 17번지 HIT B118-1호,합성고무 제조업,제진재
(주)경림이앤지,"서울특별시 성동구 성수이로7길 27, 8층 809호(성수동2가, 서울숲코오롱디지탈타워) 8층 809호",방송장비 제조업 외 7 종,"방송장비, 영상감지장치, LED경관조명, 컴퓨터서버 외"
(주)고려에스티,서울특별시 성동구 아차산로9길 19 (성수동2가),"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",스텐레이스
(주)국일금속산업,서울특별시 성동구 왕십리로14나길 14 (성수동1가),위생용 및 산업용 도자기 제조업,수건걸이
(주)국제와이드칼라,"서울특별시 성동구 동일로 37, 비츠로별관 1층 (성수동2가)",기타 인쇄관련 산업,기타인쇄관련산업
(주)규장각,서울특별시 성동구 성수동2가 279-46번지,기타 인쇄업 외 2 종,상업용인쇄물
(주)규장티피씨,"서울특별시 성동구 아차산로17길 26, 지층 (성수동2가)",기타 인쇄업 외 1 종,책자물 및 기타 인쇄물
(주)그린코스코,"서울특별시 성동구 성수일로10길 26, 710호(성수동2가, 하우스디 세종타워) 710호",그 외 기타 의료용 기기 제조업,"이식용의료기기, 삽입용보조기구"
(주)그린피앤에스,"서울특별시 성동구 성수일로 55, 905호 (성수동1가)",사무 및 회화용품 제조업 외 1 종,"고무인장,펜,스템프"
(주)그림어패럴,"서울특별시 성동구 왕십리로28길 26, 지층 (홍익동)","근무복, 작업복 및 유사의복 제조업 외 5 종","근무복,작업복및유사의복제조"
(주)근아프린팅,"서울특별시 성동구 연무장15길 11 (성수동2가, 태광산업)",기타 인쇄업 외 1 종,인쇄물
(주)글로벌창업연구소,"서울특별시 성동구 성수일로 55, 7층 703 (성수동1가, SK테크노빌딩)",컴퓨터 프린터 제조업,"3D프린터,프린터잉크자동공급기"
(주)금홍종합상사,"서울특별시 성동구 아차산로 110, 지층 (성수동2가, 성광빌딩)",연사 및 가공사 제조업,"재봉사, 연사"
(주)남부린넨산업,"서울특별시 성동구 아차산로 103, 2105호 (성수동2가)",침구 및 관련제품 제조업 외 1 종,"테이블보, 침구류"
(주)남일에이엔씨,"서울특별시 성동구 연무장길 38-1 (성수동2가, 혜성전자공업(주))",그 외 기타 가구 제조업,아크릴진열장
(주)네오콤커뮤니케이션,"서울특별시 성동구 성수이로 144-29, 402호 (성수동2가)",경 인쇄업 외 1 종,"책, 상업용인쇄물"
(주)넷코아테크,"서울특별시 성동구 성수일로 77, 1307, 1308, 1309호(성수동1가, 서울숲 IT 밸리) 1307, 1308, 1309호",컴퓨터 제조업 외 1 종,"컴퓨터 서버, 디스크어레이"
(주)넷클립스,"서울특별시 성동구 성수일로 77, 1004호 (성수동1가, 서울숲IT밸리)",컴퓨터 제조업 외 1 종,"Scaleway, Scalestore"
(주)녹색섬유,"서울특별시 성동구 무학봉26길 7 (하왕십리동, 녹색섬유빌딩)",셔츠 및 블라우스 제조업 외 12 종,"작업복,전자파의류"
(주)다산에이디,"서울특별시 성동구 광나루로 218-1 (성수동2가) 1,3층",기타 직물제품 제조업,마스크
(주)다산에이디,서울특별시 성동구 광나루로 218-10 (성수동2가),간판 및 광고물 제조업 외 5 종,간판 및 광고물
(주)다산에이디,서울특별시 성동구 광나루로 218-1 (성수동2가) 다산빌딩 지1층,그 외 기타 플라스틱 제품 제조업,"아크릴가공, 비말차단가림막"
(주)다인내추럴(팜투팜2공장 지점),"서울특별시 성동구 광나루로 130, B208~B209호 (성수동1가, 서울숲IT캐슬)",건강기능식품 제조업 외 1 종,식료품
(주)단양사,서울특별시 성동구 아차산로 56 (성수동2가),기타 인쇄업 외 1 종,"일반서적 출판,교과서출판,영상제작,번역"
(주)단양사,"서울특별시 성동구 성수이로20길 43 (성수동2가, (주)G.K문화인쇄)",기타 인쇄업 외 1 종,교과서및 일반서적 출판
(주)대경산업,"서울특별시 성동구 연무장길 78 (성수동2가, 대경빌딩)",편조원단 제조업 외 21 종,"섬유,의류,신발,금속"
(주)대광에이디,서울특별시 성동구 아차산로 42 (성수동1가),간판 및 광고물 제조업,"간찬,네온사인"
(주)대신스페살,서울특별시 성동구 성수이로24길 36 (성수동2가),기타 인쇄업 외 2 종,통장인쇄
(주)대신정밀,서울특별시 성동구 성덕정11길 16 (성수동2가),"물질 검사, 측정 및 분석기구 제조업",경도시험기
(주)대양지업,"서울특별시 성동구 뚝섬로17길 24 (성수동2가, (주)대양지업)",인쇄용 및 필기용 원지 제조업 외 1 종,지류가공
(주)대양티피에스,"서울특별시 성동구 성수이로10길 21 (성수동2가, 대양빌딩)",문구용 종이제품 제조업 외 2 종,은행서식
(주)대영이앤씨,"서울특별시 성동구 성수이로 147, 401호(성수동2가, 아이에스비즈타워) 401호","전자코일, 변성기 및 기타 전자 유도자 제조업 외 1 종","인식표지, 통신자재"
(주)대원문화사,서울특별시 성동구 성수일로10길 12 (성수동2가),기타 인쇄업 외 2 종,상업용홍보인쇄물
(주)대원피지,"서울특별시 성동구 마장로31다길 24, 대원빌딩2층 (마장동)",육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,육가공
(주)대주메디테크엔지니어링,서울특별시 성동구 성수일로10길 26 (성수동2가) 5층 502~503호,그 외 기타 의료용 기기 제조업,의료용기기
(주)대하웰시스,서울특별시 성동구 상원10길 7 (성수동1가),커튼 및 유사제품 제조업,블라인드
(주)대한인쇄씨앤씨,"서울특별시 성동구 상원10길 22, 지하1층 (성수동1가)",오프셋 인쇄업 외 1 종,인쇄물
(주)대화라벨앤택스,서울특별시 성동구 성수이로8길 7 (성수동2가),세폭직물 제조업,세포직물 라벨
(주)더스타일코리아,"서울특별시 성동구 성수일로 84, 5층 501 (성수동2가, 남영아파트형공장)",정형외과용 및 신체보정용 기기 제조업,치과 보철물
(주)도서출판점자,서울특별시 성동구 아차산로17길 48 (성수동2가) 1동 415~420호,제책업,도서출판 인쇄
(주)도아팩토리,"서울특별시 성동구 상원1길 26, B205호 (성수동1가) 외 1필지",경 인쇄업 외 3 종,청첩장
(주)동구밭,"서울특별시 성동구 성덕정길 56, B101호 (성수동1가)","치약, 비누 및 기타 세제 제조업",천연비누
(주)동남문화,"서울특별시 성동구 상원6나길 22-20 (성수동1가, 동남문화인쇄)",기타 인쇄업 외 1 종,상업인쇄물
(주)동부피앤비,서울특별시 성동구 연무장길 73 (성수동2가),제책업,제본(제책)
(주)동아칼라팩,"서울특별시 성동구 연무장18길 4 (성수동2가, 2동) (총 5 필지) 외 4필지",경 인쇄업 외 1 종,각종인쇄물
(주)동양TAVE,"서울특별시 성동구 광나루로 130, 서울숲 IT캐슬 지층 B205호 (성수동1가)",기타 음향기기 제조업,구내 방송장치
(주)동일인테리어,"서울특별시 성동구 연무장17길 14, 대군인더스터운 701-1호 (성수동2가)",전시용 모형 제조업,모형
(주)동진에벤에셀,"서울특별시 성동구 연무장19길 3, 79,80호 (성수동2가)","직물, 편조원단 및 의복류 염색 가공업",염가공
(주)동해종합기술공사,"서울특별시 성동구 광나루로6길 35, 211호(성수동2가, 성수동 우림 이비즈센터) 211호",배전반 및 전기 자동제어반 제조업 외 5 종,"계장제어장치, 영상감시장치, 보완용카메라,  차량정보안내장치, 무인안내시스템"
(주)두경프린텍,"서울특별시 성동구 성수이로 87, 1,4층 (성수동2가)",기타 인쇄업 외 1 종,인쇄물
(주)두양천공,"서울특별시 성동구 성수일로 55, 103호 (성수동1가)",건설 및 채광용 기계장비 제조업,토목용기계
(주)두원팩케이지,"서울특별시 성동구 성수이로26길 55, 1층 (성수동2가)",기타 인쇄업,전사라벨
(주)디노시스,"서울특별시 성동구 광나루로6길 35, 우림이비즈센터 501호 (성수동2가)",유선 통신장비 제조업 외 4 종,신호변환/분배기
(주)디에스엘,"서울특별시 성동구 아차산로 15-8, DS빌딩 내 (성수동1가)",일반용 전기 조명장치 제조업,조명기구
(주)디오에스앤유니크,"서울특별시 성동구 연무장17길 14, 302호(성수동2가, 대군인더스 타운) 302호",기타 가정용 전기기기 제조업,태닝기계 및 미용기기
(주)디오에프연구소,서울특별시 성동구 성수일로 77 지2층 B204호,치과용 기기 제조업 외 1 종,"인트라오랄스캐너, 스캔엔진"
(주)라로동신조명,"서울특별시 성동구 성수일로 39-41 (성수동1가, 마루동신)",일반용 전기 조명장치 제조업,일반조명기구
(주)라이마 코리아,"서울특별시 성동구 아차산로17길 49, 10층 1003호(성수동2가, 생각공장데시앙플렉스) 10층 1003호",표면광택제 및 실내가향제 제조업,방향제
(주)레더시스,"서울특별시 성동구 성수이로 144-46 (성수동2가, 한라공조써비스한미사)",핸드백 및 지갑 제조업 외 3 종,피혁제품
(주)레토트레이딩,"서울특별시 성동구 성수일로4길 25, 4층 414,415 (성수동2가)",남자용 겉옷 제조업 외 2 종,"남,여 의류"
(주)로보티어,"서울특별시 성동구 성수이로10길 14, 5층501호 (성수동2가, 에이스 하이엔드 성수타워)",방송장비 제조업 외 8 종,"방송장비,cctv"
(주)로커스솔루션,"서울특별시 성동구 상원12길 34, 1308호 (성수동1가) 1308호 외 2필지","물질 검사, 측정 및 분석기구 제조업 외 2 종","계측기기, 자동측정기, 제어장치"
(주)루치아노,"서울특별시 성동구 성수일로10길 8, 201호 (성수동2가)",여자용 겉옷 제조업,여성의류
(주)루키스,"서울특별시 성동구 성수일로4길 25, 코오롱 디지털타워 1604호, 1608호 (성수동2가)",방송장비 제조업 외 4 종,녹음장비외
(주)리얼게인,"서울특별시 성동구, 1101, 1102호 (성수동2가) 외 1필지",그 외 기타 전자부품 제조업 외 6 종,"전기회로 개폐, 보호 및 접속 장치 제조업 외"
(주)리우솔루션,"서울특별시 성동구 성수일로 89, 304호 (성수동1가)",기기용 자동측정 및 제어장치 제조업 외 2 종,"반도체부품,자동자어반,cctv"
(주)링크아이엔씨,"서울특별시 성동구 아차산로 103, 3층 305-308 (성수동2가)",그 외 기타 의복액세서리 제조업 외 6 종,피혁의류
(주)만삼,"서울특별시 성동구 성수일로 77, 406호 (성수동1가)",기타 조명장치 제조업,조명기구
(주)멘토브랜딩,"서울특별시 성동구 상원6길 18, 1층, 3층 (성수동1가, 제인팅 공장)",기타 인쇄업,패키지박스
(주)무야종합산전,"서울특별시 성동구 아차산로11가길 26, 8호 (성수동2가)","전기회로 개폐, 보호장치 제조업 외 6 종","전기제어,수배전반"
(주)미꼬쥬얼리,"서울특별시 성동구 성수이로24길 38, 404호 (성수동2가)",귀금속 및 관련제품 제조업,"귀금속(반지,귀걸이,목걸이,메달)"
(주)미노공영,"서울특별시 성동구 광나루로 204 (성수동2가, 신당종합유리)",액체 여과기 제조업 외 13 종,"여과기, 합성수지 외"
(주)미래셀바이오,"서울특별시 성동구, 15층 1509 (성수동2가)",생물학적 제제 제조업,줄기세포치료제
(주)미르에스디아이,"서울특별시 성동구 아차산로 49, 서울숲코오롱디지털타워3차 501호 (성수동1가)",기타 음향기기 제조업 외 3 종,콘트롤러외
(주)미림씨엔피,"서울특별시 성동구 연무장길 116, 1,2층 (성수동2가)",제책업,메뉴얼 외
(주)바이오닉스,"서울특별시 성동구 뚝섬로1길 63, 15층 (성수동1가)",생물학적 제제 제조업,올리고 단백질
(주)바이오다인,서울특별시 성동구 아차산로5길 24-4 (성수동2가),그 외 기타 의료용 기기 제조업 외 1 종,"체액분석기, 시약"
(주)바이오세움,"서울특별시 성동구 아차산로 144, 206호 (성수동2가)",그 외 기타 분류 안된 화학제품 제조업 외 1 종,의약품(생명과학)
(주)바이오스파인,"서울특별시 성동구 동일로 89, 진선빌딩 300호 (성수동2가)",정형외과용 및 신체보정용 기기 제조업,의료기기
(주)버딩트리,"서울특별시 성동구 광나루로6길 49, 704호, 705호(성수동2가, 모터씨티빌딩)",여자용 겉옷 제조업 외 1 종,여성의류
(주)베러웨이시스템즈,"서울특별시 성동구 아차산로11길 30, 101, 201, 401-404, 604호(성수동2가, 삼성아파트형공장) 101, 201, 401-404, 604호",경 인쇄업,스티커
(주)베스트텍,"서울특별시 성동구 왕십리로10길 6, 510호(성수동1가, 서울숲비즈포레) 510호",기타 주변기기 제조업 외 1 종,"멀티미디어학습장치, 컴퓨터서버 및 스토리지"
(주)베이스스톤,"서울특별시 성동구 성수일로8길 5, 에이동 1101호(성수동2가, 서울숲 SK V1 TOWER) 에이동 1101호",컴퓨터 제조업,특수목적컴퓨터
(주)보문특수칼라,"서울특별시 성동구 뚝섬로15길 16 (성수동2가, (주)금성전자부품)",기타 인쇄업 외 1 종,박스인쇄
(주)보성프린테크,"서울특별시 성동구 연무장5가길 25, B110호 (성수동2가)",오프셋 인쇄업,크린룸용품 및 기타인쇄물
(주)부래당,"서울특별시 성동구 아차산로11길 18 (성수동2가, (주)부래당, (주)언어더필)",여자용 겉옷 제조업,여성의류
(주)북모아,"서울특별시 성동구 연무장5가길 25, b111, b112, b113호 (성수동2가)",기타 인쇄업,인쇄물
(주)브로닉스정보통신,"서울특별시 성동구 아차산로15길 52, 7층 704호 (성수동2가, 삼환 디지텔 벤처타워)",방송장비 제조업 외 4 종,방송장비
(주)블루그린,"서울특별시 성동구 아차산로7나길 18, 709호(성수동2가, 대선 APEX CENTER) 709호",표면광택제 및 실내가향제 제조업,방향제
(주)비앤아이시스템,"서울특별시 성동구 아차산로11길 30, 삼성동 5층 501호 (성수동2가)",그 외 기타 종이 및 판지 제품 제조업,바코드 라벨 외
(주)비앤아이테크,"서울특별시 성동구 왕십리로10길 6, 914호(성수동1가, 서울숲비즈포레) 914호",유선 통신장비 제조업 외 6 종,"cctv, 출입통제, 통신장비외"
(주)비에이치쓰리디 조형학원,"서울특별시 성동구 뚝섬로17가길 48, 502호(성수동2가, 성수에이원 지식산업센터) 502호",인형 및 장난감 제조업,"피규어, 아트토이, 구체관절인형"
(주)비엘에스,"서울특별시 성동구 광나루로 130, 서울숲IT캐슬 1207호 (성수동1가)",유선 통신장비 제조업 외 2 종,구내 방송 장비
(주)산테텍스,"서울특별시 성동구 성수이로 51, 8층 806 (성수동2가, 서울숲 한라시그마밸리)",날염 가공업,원단
(주)삼광트러스트,"서울특별시 성동구 아차산로5길 13 (성수동2가, (주)삼광트러스트 사옥)",핸드백 및 지갑 제조업 외 1 종,"악세사리, 피혁제품"
(주)삼금아스코,서울특별시 성동구 성수일로3길 15 (성수동1가),기타 조명장치 제조업 외 7 종,전기용품
(주)삼립인쇄,"서울특별시 성동구 성수이로 144-29, 1층 105 (성수동2가, 서울제일인쇄공업사업협동조합)",오프셋 인쇄업 외 1 종,"출판서적, 카다로그, 달력 외"
(주)삼복인터내셔날,서울특별시 성동구 도선동 111번지 삼복빌딩 2층,침구 및 관련제품 제조업,린넨류
(주)삼성라디칼텍,"서울특별시 성동구 연무장17길 14, 2층 202 (성수동2가, 대군인더스 타운)",그 외 기타 전기장비 제조업 외 2 종,"오존수살균기,OH라디칼살균기,실리콘등"
(주)삼성유브이인쇄,"서울특별시 성동구 성수일로 84, B1층 . (성수동2가, 남영아파트형공장)",오프셋 인쇄업 외 1 종,"제품포장박스,전단지"
(주)삼우아트,"서울특별시 성동구 연무장17길 3, 1층 101호 (성수동2가) 외 1필지",스크린 인쇄업 외 4 종,"광고, 판촉물"
(주)삼원프린테크,"서울특별시 성동구 성수이로26길 45 (성수동2가, 세종C&P공장)",기타 인쇄업 외 1 종,"행택,라벨,스티커,옵셋인쇄"
(주)삼정펌프,서울특별시 성동구 뚝섬로5길 38 (성수동2가),액체 펌프 제조업,"모터,펌프,양수기"
(주)삼진이엔씨,"서울특별시 성동구 아차산로 156 (성수동2가, 삼진조명)",일반용 전기 조명장치 제조업,조명기기
(주)삼진이엔알,"서울특별시 성동구 아차산로 103, 영동테크노타워 510 (성수동2가)","탭, 밸브 및 유사장치 제조업",밸브 어셈블리
(주)삼진코팅,서울특별시 성동구 성수이로18길 41 (성수동2가),종이 포대 및 가방 제조업,종이가방
(주)상현원색,서울특별시 성동구 성수이로24길 16 (성수동2가),기타 인쇄업 외 2 종,인쇄
(주)서울생주조,"서울특별시 성동구 광나루로8길 19 (성수동2가, 지산탁주공장)",탁주 및 약주 제조업,탁주
(주)서울에스티,서울특별시 성동구 성수일로 52(성수동2가),그 외 기타 1차 철강 제조업,"철강, 판금제품"
(주)서원피앤씨,서울특별시 성동구 연무장17길 11 (성수동2가),골판지 상자 및 가공제품 제조업,골판지 상자 외
(주)선명제본,"서울특별시 성동구 성수일로 111 (성수동1가, 선명제본)",기타 인쇄업 외 1 종,책
(주)선명제본,서울특별시 성동구 성수동2가 257번지 외 1필지,제책업,제책
(주)선영인쇄,"서울특별시 성동구 성수이로8길 5, 1층 (성수동2가)",기타 인쇄업 외 1 종,종이인쇄물
(주)선화테크,"서울특별시 성동구 뚝섬로15길 17-25 (성수동2가, 한양금속)",디지털 적층 성형기계 제조업 외 1 종,복사기부품
(주)성보프린팅,"서울특별시 성동구 연무장5길 9-29, 2층(성수동2가, 삼덕정판)",기타 인쇄업 외 1 종,종합인쇄
(주)성신문화인쇄사,"서울특별시 성동구 아차산로11가길 22 (성수동2가, 주1)",기타 인쇄업 외 1 종,옵셋인쇄
(주)성신문화인쇄사,"서울특별시 성동구 아차산로11가길 22 (성수동2가, 주1)",기타 인쇄업 외 2 종,인쇄
(주)성신페이퍼,"서울특별시 성동구 아차산로15길 52, 3층 306호 (성수동2가, 삼환 디지텔 벤처타워)","플라스틱 포대, 봉투 및 유사제품 제조업","펄프, 종이, 위생용지, 접착용테이프"
(주)성원애드피아,서울특별시 성동구 성수일로 80 (성수동2가),기타 인쇄업 외 2 종,"전단,명함,스티커,봉투"
(주)성음,"서울특별시 성동구 아차산로 73 (성수동2가, (주)성음)",기록매체 복제업,"음반,콤팩디스크"
(주)성일데칼,"서울특별시 성동구 아차산로5길 24-28, 1층 (성수동2가)",간판 및 광고물 제조업,광고물(현수막)
(주)성일화학,서울특별시 성동구 둘레23길 3 (성수동2가),합성수지 및 기타 플라스틱 물질 제조업,샤워기헤드
(주)성지프로덱트,"서울특별시 성동구 왕십리로10길 6 (성수동1가, 신광케미칼)",기타 인쇄관련 산업,"쇼핑백,라벨"
(주)성진피앤케이,"서울특별시 성동구 광나루로4길 1-30 (성수동2가, 성진레이져테크)",그 외 기타 종이 및 판지 제품 제조업 외 1 종,"목형, 스티커"
(주)세림서울지사,"서울특별시 성동구 아차산로13길 21 (성수동2가, C동)","적층, 합성 및 특수표면처리 종이 제조업",점착라벨원단
(주)세양텔레콤,"서울특별시 성동구 아차산로15길 52, 지하층 B01호 (성수동2가, 삼환 디지텔 벤처타워)",방송장비 제조업 외 2 종,방송장비
(주)세원정밀,"서울특별시 성동구 아차산로 158 (성수동2가, 세원정밀인쇄(주))",경 인쇄업 외 1 종,"옵셋인쇄물(카다로그,전단)"
(주)세이크엠이씨,"서울특별시 성동구 아차산로 49, 서울숲코오롱디지털타워3차 805호 (성수동1가)",구조용 금속 판제품 및 공작물 제조업,닥트
(주)세익피앤디,"서울특별시 성동구 연무장길 89, 1층 (성수동2가)",기타 인쇄업 외 1 종,인쇄품
(주)세인아이씨티,"서울특별시 성동구 아차산로17길 57, 휴먼테코 901,902호 (성수동2가)",메모리용 전자집적회로 제조업 외 1 종,"정보보안소프트웨어, 보안소프트웨어회로"
(주)세진조명,서울특별시 성동구 상원길 50-11 (성수동1가),일반용 전기 조명장치 제조업,조명기구
(주)세호영상,서울특별시 성동구 광나루로8길 31 (성수동2가) FB101호,유선 통신장비 제조업 외 6 종,씨씨티비 카메라 액세서리
(주)센서젠,"서울특별시 성동구 광나루로 144, 403, 404호(성수동1가, 더 스페이스 타워) 403, 404호","물질 검사, 측정 및 분석기구 제조업",동물용 의료기기
(주)소닉스,"서울특별시 성동구 성수이로24길 38, 7층 703호 (성수동2가, 신흥아파트형공장)",산업처리공정 제어장비 제조업 외 1 종,"화상인식장치,반도체제어장비"
(주)송지오옴므,서울특별시 성동구 아차산로11가길 20 (성수동2가),남자용 겉옷 제조업,남성용정장
(주)수성인투,"서울특별시 성동구 뚝섬로17길 24 (성수동2가, (주)대양지업)",주형 및 금형 제조업 외 2 종,금형
(주)슈매니아,서울특별시 성동구 연무장13길 11 (성수동2가),구두류 제조업,신발(구두류)
(주)스타코프,"서울특별시 성동구 아차산로 17, 1405호(성수동1가, 서울숲 L-Tower) 1405호",속도계 및 적산계기 제조업 외 1 종,전기차 충전용 과금형 콘센트
(주)스타키코리아,"서울특별시 성동구 상원12길 1, 스타키빌딩 지하1층,지상5,6,7층 (성수동1가)",정형외과용 및 신체보정용 기기 제조업,보청기
(주)스테이지넷,"서울특별시 성동구 서울숲2길 46-10, 1층 (성수동1가)",방송장비 제조업 외 2 종,조명기기 및 음향엠프류
(주)시너젠,서울특별시 성동구 성수일로4길 25 (성수동2가) 서울숲코오롱디지털타워 505호,배전반 및 전기 자동제어반 제조업 외 1 종,빌딩자동제어장치
(주)신당종합유리,"서울특별시 성동구 광나루로 204 (성수동2가, 신당종합유리)",안전유리 제조업 외 1 종,판유리가공품
(주)신도리코,서울특별시 성동구 성수이로24길 8 (성수동2가) (주) 신도리코 1층,사무용 기계 및 장비 제조업 외 5 종,3d프린터 토너
(주)신성계전,"서울특별시 성동구 성수이로18길 34-1 (성수동2가, (주)신성계전)",방전램프용 안정기 제조업 외 6 종,"누전차단기, 타임스위치"
(주)신세계도금,서울특별시 성동구 성수일로12길 27 (성수동2가) (주)창미 110호,도금업,금속가공품
(주)신주원디앤지,"서울특별시 성동구 성수이로 147, 1306,1307 (성수동2가)",침구 및 관련제품 제조업,침구류
(주)신창자동화시스템,"서울특별시 성동구 성수일로12길 27 (성수동2가, (주)창미)",전기경보 및 신호장치 제조업 외 2 종,차량검지기
(주)신한개발,"서울특별시 성동구 성수일로10길 26, 701호, 702호(성수동2가, 하우스디 세종타워) 701호, 702호",교통 신호장치 제조업,교통제어 시스템
(주)신화프린팅,"서울특별시 성동구 상원길 81, 지하1층 (성수동1가)",그 외 기타 종이 및 판지 제품 제조업 외 1 종,"스티커, 인쇄물"
(주)쓰리피엠코리아,서울특별시 성동구 성수동2가 284-67번지 지층,기타 인쇄업 외 2 종,인쇄물
(주)씨즈디자인,"서울특별시 성동구 성수일로12길 19, 지층~4층 (성수동2가)",그 외 기타 가구 제조업,아크릴장식장
(주)아세아이엔티,"서울특별시 성동구 아차산로11길 7 (성수동2가, 아세아전기공업(주))",기타 전기 변환장치 제조업 외 41 종,"무정전전원장치,배전반류장비"
(주)아세아통상,"서울특별시 성동구 성수이로22길 37, 8층 807 (성수동2가, 성수동 아크밸리)",기타 무선 통신장비 제조업 외 2 종,이동형영상감시시스템
(주)아스테라시스,"서울특별시 성동구 성수일로4길 25, 5층 507,508,313 (성수동2가)",그 외 기타 의료용 기기 제조업,기타 피부과용 의료기기 제조
(주)아이브이에스,"서울특별시 성동구 광나루로6길 35, 우림이비즈센터 306호 (성수동2가)",분사기 및 소화기 제조업,셀프책소독기
(주)아이시에스,"서울특별시 성동구 아차산로17길 57, 7층 707호, 708호 (성수동2가, 일신건영휴먼테코)",배전반 및 전기 자동제어반 제조업,PLC판넬
(주)아이에스텍,"서울특별시 성동구 연무장5가길 7, B104호, W동 805호 (성수동2가)","증류기, 열교환기 및 가스발생기 제조업 외 2 종",가스발생기 제조
(주)아이월드테마파크,"서울특별시 성동구 성수일로 84, 남영아파트형공장 303호 (성수동2가)",일반용 전기 조명장치 제조업 외 1 종,조명등기구
