회사명,공장대표주소,업종명,생산품
(주)아이테크엔지니어링,"서울특별시 성동구 성수일로4길 25, 1503호(성수동2가, 서울숲코오롱디지털타워) 1503호","전자기 측정, 시험 및 분석기구 제조업 외 3 종","계측제어기, 제어기 성능측정 및 분석장치"
(주)아이템풀코리아,"서울특별시 성동구 성수이로10길 14 (성수동2가, 아이템플신문사)",기타 인쇄업 외 1 종,학습지제조
(주)아인스 투윈포럼,서울특별시 성동구 뚝섬로3나길 13 (성수동1가),그 외 기타 가구 제조업 외 1 종,롤스크린
(주)아쿠아스마트코리아,"서울특별시 성동구 아차산로7길 44, 지층(대풍빌딩) (성수동2가)",그 외 기타 분류 안된 화학제품 제조업 외 1 종,부식억제재
(주)아트디앤피,서울특별시 성동구 아차산로13길 53 (성수동2가),기타 인쇄업,인쇄
(주)아트매니아플러스,"서울특별시 성동구 아차산로11길 27, 3층 301호 (성수동2가, 윈스타워 아파트형 공장)",경 인쇄업 외 2 종,인쇄
(주)아트임팩트,"서울특별시 성동구 성수이로 51, 2층 209,210 (성수동2가, 서울숲 한라시그마밸리)",가방 및 기타 보호용 케이스 제조업,직물제 가방 제조
(주)알엔알,"서울특별시 성동구 연무장5가길 25, 1106호(성수동2가, 성수역 SK V1 Tower) 1106호",비디오 및 기타 영상기기 제조업,영상장비 제조
(주)애드맨,"서울특별시 성동구 성수일로12길 1, 1층 (성수동2가)",경 인쇄업 외 2 종,인쇄물
(주)애드맨,서울특별시 성동구 아차산로5길 24-41 (성수동2가),간판 및 광고물 제조업 외 3 종,스크린
(주)애드웍커뮤니케이션,"서울특별시 성동구 아차산로 103, 영동테크노타워 2208호 (성수동2가)",기타 인쇄업 외 2 종,광고물인쇄
(주)애디웹,"서울특별시 성동구 성수이로 88, 남정빌딩 2층 (성수동2가)",기타 인쇄업 외 1 종,"일반라벨, 김밥 샌드위치 햄버거 도시락 라벨, 특수 라벨"
(주)앤드위,"서울특별시 성동구 아차산로 137, 3층 (성수동2가, 승림빌딩)",간판 및 광고물 제조업,간판 안내판
(주)어나더필,"서울특별시 성동구 아차산로11길 18 (성수동2가, (주)부래당, (주)언어더필)",그 외 기타 봉제의복 제조업,여성의류
(주)에스앤씨얼라이언스,"서울특별시 성동구 아차산로 49, 13층 1305 (성수동1가, 서울숲 코오롱디지털타워 Ⅲ)",비디오 및 기타 영상기기 제조업 외 2 종,"비디오 및 기타영상기기 , 전구 및 램프"
(주)에스엠파트너스,서울특별시 성동구 성수이로3길 5 (성수동2가),일반용 전기 조명장치 제조업 외 1 종,"특수조명,항공장애등"
(주)에스와이어패럴,"서울특별시 성동구 연무장19길 7 (성수동2가, (주)SY어패럴)",셔츠 및 블라우스 제조업 외 1 종,셔츠
(주)에스제이글로벌,"서울특별시 성동구 아차산로17길 57, 휴먼테코 205호 (성수동2가)",그 외 기타 전기장비 제조업 외 1 종,물티슈기례
(주)에어콕,"서울특별시 성동구 아차산로17길 48, 1510호(성수동2가, 성수 SK V1 CENTER I) 1510호","물질 검사, 측정 및 분석기구 제조업",실내외공기질측정기
(주)에어패스,"서울특별시 성동구 성수이로22길 37, 6층 604 (성수동2가, 성수동 아크밸리) 외 1필지",남자용 겉옷 제조업,남성용정장
(주)에이린케이,"서울특별시 성동구 아차산로 103, 10층 1005호 (성수동2가)","치약, 비누 및 기타 세제 제조업","천연비누,아로마디퓨저,캔들"
(주)에이브이시스,"서울특별시 성동구 성수일로 55, SK테크노빌딩 104호 (성수동1가)",기타 구조용 금속제품 제조업 외 1 종,"멀티비디오용 브라켓, 키오스크"
(주)에이스닥트자재,"서울특별시 성동구 동일로 195, 1층 (송정동)",산업용 송풍기 및 배기장치 제조업,"각형덕트, 후드, 챔버, 그릴박스"
(주)에이앤티플러스,"서울특별시 성동구 성수이로 147, 7층 703 (성수동2가) 7층 703호",방송장비 제조업 외 1 종,"HDMI to UTP전송기, CCTV, IP전화기"
(주)에코란트,"서울특별시 성동구 상원12길 34, 8층 814호(성수동1가) 8층 814호",일반용 전기 조명장치 제조업 외 2 종,"스마트 조명 제어기 2종, 게이트웨이"
(주)에프앤씨,"서울특별시 성동구 성수이로22길 57, 영진빌딩 3층 (성수동2가)",구두류 제조업,구두류제조
(주)에프앤씨,"서울특별시 성동구 아차산로11가길 36, 2층 (성수동2가)",구두류 제조업,구두
(주)엔시스템즈,"서울특별시 성동구 성수이로 147, 10층 1005 (성수동2가)",유선 통신장비 제조업,"광송신기, 광 증폭기"
(주)엔에스코,"서울특별시 성동구 성수이로 51, 4층 408 (성수동2가, 서울숲 한라시그마밸리)",일반용 전기 조명장치 제조업,조명기기
(주)엔투원시스템,"서울특별시 성동구 아차산로 144 (성수동2가, 우영테크노센터) 3층 301호 외 1필지",방송장비 제조업 외 1 종,카메라(CCTV 용)
(주)엘엔씨라이텍,"서울특별시 성동구 성수일로 39-41, 3층 (성수동1가, 마루동신)",일반용 전기 조명장치 제조업,LED조명기구제조(가정용)
(주)엘프만,"서울특별시 성동구 마장로25길 13-1, 4층 (홍익동, 은석빌딩)","근무복, 작업복 및 유사의복 제조업",의류
(주)엠아이에스피,"서울특별시 성동구 상원1길 26, 501호(성수동1가, 서울숲A타워) 501호 외 1필지",일반용 전기 조명장치 제조업 외 1 종,LED 경관조명기구
(주)엠와이칼라,"서울특별시 성동구 뚝섬로1길 31, 서울숲M타워 B101 (성수동1가)",감광재료 및 관련 화학제품 제조업,토너카트리지
(주)열림정보기술,서울특별시 성동구 아차산로17길 48 (성수동2가) 성수 SK V1 CENTER I 1314호,유선 통신장비 제조업 외 1 종,"영상감시장치, 유선통신장비제조"
(주)예인미술,"서울특별시 성동구 성수일로10길 23(성수동2가, 예인미술 성수동 신사옥)",오프셋 인쇄업 외 4 종,인쇄물
(주)오르미디어그룹,"서울특별시 성동구 성수일로10길 26, 3층 301 (성수동2가) 3층 301호",방송장비 제조업 외 3 종,LED전광판
(주)오리엔탈라인,"서울특별시 성동구, 1001호, B403호, B405호, B408호 (성수동1가)",간판 및 광고물 제조업,"차량용부착시트, 건물 내,외부부착시트, 사인물 제작"
(주)오리온이엔씨,"서울특별시 성동구 성수이로22길 37, 13층 1306 (성수동2가, 성수동 아크밸리) 13층 1306호","물질 검사, 측정 및 분석기구 제조업 외 2 종","검사기, 검역기"
(주)오스킴코리아,"서울특별시 성동구 아차산로17길 57, 휴먼테코 504,505호 (성수동2가)",침구 및 관련제품 제조업,"홈패션, 침구"
(주)오시에스티,"서울특별시 성동구 성수이로7가길 13, 3층 (성수동2가)",산업처리공정 제어장비 제조업 외 1 종,전자연동장치기판
(주)와이앤씨,"서울특별시 성동구 광나루로 260, 2층4층 (성수동2가)",구두류 제조업,여성구두
(주)와일드싱,서울특별시 성동구 아차산로17길 49 (성수동2가) 1202호,기타 무선 통신장비 제조업,유뮤선 통신장치
(주)용진기전,서울특별시 성동구 광나루로 229 (송정동),액체 여과기 제조업 외 12 종,슬러지수집기 외
(주)우성자동문,서울특별시 성동구 성수이로 86 (성수동2가),"금속 문, 창, 셔터 및 관련제품 제조업 외 2 종",자동문작동기
(주)우진정보,"서울특별시 성동구 광나루로8길 31, FB104호(성수동2가)",방송장비 제조업 외 1 종,CCTV  CAMERA  ACCESSORY외
(주)우진통상,"서울특별시 성동구 성수이로 51, 서울숲한라시그마밸리 409호,509호 (성수동2가)",유아용 의복 제조업,유아동 의류
(주)우행티엠에스,서울특별시 성동구 아차산로 111(성수동2가),기타 인쇄업 외 2 종,은행서식류 인쇄물
(주)원파워,"서울특별시 성동구 뚝섬로15길 23-9, 3층 와이낫빌딩 (성수동2가)",경 인쇄업,라벨인쇄
(주)월드조명,"서울특별시 성동구 성수이로3길 11, 1층 (성수동2가)",일반용 전기 조명장치 제조업 외 10 종,전기조명
(주)유니프린,"서울특별시 성동구 아차산로11길 27, 501호(성수동2가, 윈스타워) 501호",가방 및 기타 보호용 케이스 제조업,"가방, 지갑, 핸드백, 호텔용품, 인형"
(주)유정캄파티,"서울특별시 성동구 성수이로 144-29, B101호 (성수동2가)",기타 인쇄업 외 1 종,"(책자,카다로그,전단지)"
(주)유풍잉크,서울특별시 성동구 성수일로 80-7 (성수동2가),인쇄잉크 및 회화용 물감 제조업,"인쇄잉크,그라비아잉크"
(주)유한정공,서울특별시 성동구 성수이로18길 32-1 (성수동2가),수동식 식품 가공기기 및 금속 주방용기 제조업 외 18 종,주방기구
(주)윤진어패럴,"서울특별시 성동구 성수이로10길 14, 505호 (성수동2가, 에이스 하이엔드 성수타워)",속옷 및 잠옷 제조업 외 2 종,의류
(주)이레에너지테크,"서울특별시 성동구 성수이로 51, 서울숲한라시그마밸리 606호 (성수동2가)",배전반 및 전기 자동제어반 제조업,"자동제어반,수배전반"
(주)이솝키드어페럴,서울특별시 성동구 아차산로 66 (성수동2가),유아용 의복 제조업,소아용의류
(주)이에스제화,"서울특별시 성동구 아차산로17길 57, 5층 507,508 (성수동2가, 일신건영휴먼테코)",구두류 제조업,수제화
(주)이엔티코리아,"서울특별시 성동구 아차산로17길 57, 일신건영휴먼테코 403호 (성수동2가)",배전반 및 전기 자동제어반 제조업 외 1 종,"자동제어반, PLC panel 샘플링시스템"
(주)이엠케이파트너스,"서울특별시 성동구 연무장길 89, 3층(성수동2가)",전시용 모형 제조업 외 2 종,교시용 모형제조
(주)이젠디엔피,"서울특별시 성동구 성수이로7가길 3, 1층 (성수동2가, (주)용성산업)",인쇄용 및 필기용 원지 제조업 외 1 종,"카다로그, 브로셔, 전단외 각종인쇄물"
(주)인디고씨큐리티,"서울특별시 성동구 아차산로11길 12 (성수동2가, 진일빌딩)",그 외 기타 전자부품 제조업 외 3 종,컴퓨터 입출력장치
(주)인스틴솔루션,"서울특별시 성동구 성수이로18길 31, 6층 601 (성수동2가, 풍림테크원)",기타 음향기기 제조업 외 2 종,음향기기
(주)인포스테크놀러지,"서울특별시 성동구 상원1길 26, B104호(성수동1가, 서울숲A타워) B104호",무기 및 총포탄 제조업 외 1 종,전자충격기
(주)인퓨닉스테크놀로지,"서울특별시 성동구 왕십리로4가길 13, 중일빌딩 2층 (성수동1가)",전기식 진단 및 요법 기기 제조업,의료용산소포화도측정기
(주)일조아이디,서울특별시 성동구 광나루로 290 (성수동2가),커튼 및 유사제품 제조업 외 2 종,"커튼, 블라인드, 버티칼"
(주)일진인쇄,"서울특별시 성동구 상원길 17-1 (성수동1가, (주)일진인쇄)",기타 인쇄업 외 2 종,"전단지,카다로그,리플렛"
(주)일진인쇄,서울특별시 성동구 상원10길 24 (성수동1가),기타 인쇄업 외 1 종,"카탈로그, 전단, 리풀렛"
(주)자이언트드론,서울특별시 성동구 자동차시장1길 28 (용답동) 인터텍스빌딩 2층,무인 항공기 및 무인 비행장치 제조업,드론
(주)정수글로벌,"서울특별시 성동구 성수일로 55, 8층 801 (성수동1가, SK테크노빌딩)",기타 주변기기 제조업 외 1 종,"DVD복사기,도서관리시스템"
(주)정우섬유,"서울특별시 성동구 아차산로13길 15 (성수동2가, 정우섬유) (총 3 필지) 외 2필지",편조원단 제조업,원단
(주)제성씨엔엠,서울특별시 성동구 아차산로9길 17 (성수동2가),주형 및 금형 제조업,프라스틱사출
(주)제이디디자인,"서울특별시 성동구 성수일로10길 26, B1층 101호 (성수동2가) B1층 101호",경 인쇄업,책자(인쇄물)
(주)제이앤케이플러스,"서울특별시 성동구 아차산로11길 12, 2층(성수동2가, 진일빌딩)",비 및 솔 제조업,"치실, 치간칫솔"
(주)제이엔티코퍼,"서울특별시 성동구 성수이로22길 61, 일심빌딩 5층 (성수동2가)",핸드백 및 지갑 제조업,"가방, 핸드백"
(주)제이캔,서울특별시 성동구 연무장5가길 25 (성수동2가) 성수역 SK V1 Tower 12층 1210호,그 외 기타 의복액세서리 제조업,벨트 액세서리 의류
(주)제일종합기계,서울특별시 성동구 성수이로16길 26 (성수동2가),"용기 세척, 포장 및 충전기 제조업 외 1 종",식품기계
(주)제타뱅크,"서울특별시 성동구 광나루로6길 20, 6층 605호(성수동2가, 이글타운아파트형공장) 6층 605호",산업용 로봇 제조업 외 1 종,"교육용 로봇, 소프트웨어유지및지원서비스, 정보인프라구축서비스"
(주)좋은사람들,서울특별시 성동구 동일로 123 (성수동2가) 선빌딩 5층,속옷 및 잠옷 제조업,의류 속옷
(주)지구화학,"서울특별시 성동구 성수일로4길 47 (성수동2가, 지구화학)",사무 및 회화용품 제조업,"색연필,불어펜"
(주)차르,"서울특별시 성동구 성수일로4길 39, 모아빌딩 406호 (성수동2가)",공기 조화장치 제조업,주택환기장치
(주)창미,"서울특별시 성동구 성수일로12길 27 (성수동2가, (주)창미)","근무복, 작업복 및 유사의복 제조업 외 4 종","관공서유니폼,학생복"
(주)체인지레이디,"서울특별시 성동구 고산자로 269, 204, 205호 (도선동, 신한넥스텔)","근무복, 작업복 및 유사의복 제조업 외 4 종","의류, 자켓, 바지, 티셔츠, 넥타이, 스카프 등"
(주)최고로 디지탈,"서울특별시 성동구 성수이로24길 38, 4층 401호 (성수동2가, 신흥아파트형공장)",사무용 기계 및 장비 제조업,사무용기계
(주)케세코,"서울특별시 성동구 성수일로 84, 남영아파트형공장 8층 (성수동2가)",그 외 기타 전기장비 제조업 외 1 종,전기절전기
(주)케이믹글로벌,서울특별시 성동구 성수이로 66 (성수동2가) 서울숲 드림타워 606호,유선 통신장비 제조업,자동차 안내장치
(주)케이아이엠지,"서울특별시 성동구 아차산로 67-16, 지하1층 (성수동2가)",간판 및 광고물 제조업,광고용 실사출력물
(주)케이엠에이티,"서울특별시 성동구 아차산로17길 57, 4층 401 (성수동2가, 일신건영휴먼테코)",의료용 가구 제조업 외 1 종,이동식 태양광 식수정수장치
(주)케이이앤티,"서울특별시 성동구 성수일로4길 12, 3층 (성수동1가)",방송장비 제조업 외 4 종,방송 및 무선통신기기 제조업
(주)케이투이,"서울특별시 성동구 성수이로 147, 9층 909 (성수동2가)",방송장비 제조업 외 3 종,방송장비 등
(주)코너스,"서울특별시 성동구 아차산로 49, B층 106호(성수동1가, 서울숲 코오롱디지털타워 Ⅲ) B층 106호",기타 무선 통신장비 제조업 외 1 종,"상황인지형 위치안내시스템, 비상구유도등"
(주)코아네트,"서울특별시 성동구 성수일로 77, 605,604,606 (성수동1가, 서울숲IT밸리)",그 외 기타 전자부품 제조업 외 6 종,원전제어계측기
(주)코파스,"서울특별시 성동구 성수일로 77, 1111호 (성수동1가, 서울숲IT밸리)",사무용 기계 및 장비 제조업 외 3 종,"출퇴근기록기, 순찰관리시스템"
(주)코프리,"서울특별시 성동구 성수이로 126, 성수실업빌딩 301호 (성수동2가)",스크린 인쇄업 외 2 종,판촉물
(주)큐미인터내셔널,"서울특별시 성동구 뚝섬로3길 9, 에이동 3층 (성수동1가, 나동)",그 외 기타 봉제의복 제조업,스포츠 의류
(주)클라비스에너제틱,"서울특별시 성동구 성수이로24길 38, 6층 603호, 604호, 606호(성수동2가) 6층 603호, 604호, 606호",모조 귀금속 및 모조 장신용품 제조업,의료기기 건강팔찌
(주)탑트레이딩이엔지,"서울특별시 성동구 광나루로6길 35, 4층 403,404 (성수동2가)","증류기, 열교환기 및 가스발생기 제조업 외 1 종",환경분석장비
(주)태성에프비,서울특별시 성동구 성수2가제3동 302-42번지,표구처리업 외 1 종,"단추,파스너"
(주)태우산업,"서울특별시 성동구 뚝섬로15길 13, 1층 (성수동2가)",수동식 식품 가공기기 및 금속 주방용기 제조업 외 3 종,"식품운반차, 국솥, 식품포장기계"
(주)투윈스컴,"서울특별시 성동구 아차산로11길 27 (성수동2가, 윈스타워 아파트형 공장) 5,3,1층 502,302,101호",유선 통신장비 제조업 외 4 종,CCTV
(주)투윈이노베이션,"서울특별시 성동구 아차산로11길 27, 3층 302 (성수동2가, 윈스타워 아파트형 공장)",유선 통신장비 제조업,보안시스템기기
(주)트리엠(제1공장),"서울특별시 성동구 상원길 19, 4층 (성수동1가, 신한 IT TOWER)","사진기, 영사기 및 관련 장비 제조업  외 5 종",광학기기
(주)티엠디랩,서울특별시 성동구 광나루로8길 31 (성수동2가) 6층 (성수에스케이이브이원 센터2),그 외 기타 의료용 기기 제조업,"누도스텐트, 혈관스텐트"
(주)팜스빌,"서울특별시 성동구 아차산로 103, B2층 2201 (성수동2가)",건강기능식품 제조업 외 2 종,건강기능식품
(주)패션플라잉,"서울특별시 성동구 성수이로7길 27, 6층 609 (성수동2가, 서울숲 코오롱 디지털타워2)",편조원단 제조업 외 2 종,원단
(주)펀진,서울특별시 성동구 연무장5가길 7 (성수동2가) 성수역 현대테라스타워 EAST동 13층 1307호,컴퓨터 제조업,엔젤케어(소형PC)
(주)페코텍,"서울특별시 성동구 동일로 169 (성수동2가) B1층 101,201호",위생용 및 산업용 도자기 제조업 외 3 종,"캐필러리, 콜렛류"
(주)포시,서울특별시 성동구 아차산로11길 10 (성수동2가),기타 직물제품 제조업 외 3 종,"간판,진열대"
(주)포이엔,"서울특별시 성동구 아차산로11가길 36, 4층 (성수동2가, 삼영빌딩)",혼성 및 재생 플라스틱 소재 물질 제조업,목재플라스틱 복합재
(주)포인엑스,"서울특별시 성동구 성수일로8길 5, A동 402호 (성수동2가)",배전반 및 전기 자동제어반 제조업,분산제어시스템
(주)포인투랩,"서울특별시 성동구 상원12길 34, 1306호, 1307호(성수동1가) 1306호, 1307호",컴퓨터 제조업,노트북컴퓨터
(주)포커스테크놀로지,"서울특별시 성동구 성수일로4길 25, 서울숲코오롱디지털타워 801-803 (성수동2가)",기기용 자동측정 및 제어장치 제조업 외 4 종,원자력발전소 제어기
(주)피알앤북스,"서울특별시 성동구 상원10길 24, 지하1층 (성수동1가)",플라스틱 필름 제조업 외 7 종,"기타인쇄물, 박스, 제본, 수첩, 비금속명판"
(주)피앤지타운,"서울특별시 성동구 성수일로12길 26, 906호 (성수동2가, 서울숲 코리아IT센터) 906호",간판 및 광고물 제조업,"간판, 옥외광고물"
(주)필드론,"서울특별시 성동구 아차산로 33 (성수동1가, 삼일빌딩)",기타 무선 통신장비 제조업,통신장비
(주)하람유앤에프,"서울특별시 성동구 광나루로 196, 2층 (성수동1가)",남자용 겉옷 제조업 외 7 종,의류
(주)하람유앤에프,"서울특별시 성동구 무학로14길 64, 4층 (마장동)",기타 직물제품 제조업 외 5 종,의류
(주)하인펜서,"서울특별시 성동구 성수일로10길 8, 703호 (성수동2가)",산업용 냉장 및 냉동 장비 제조업,냉각기
(주)한국교육문화,"서울특별시 성동구 성수이로22길 43, 2층 (성수동2가, 성수동 아파트형 공장)",경 인쇄업 외 2 종,"교재, 서적 외"
(주)한국에너지시스템,서울특별시 성동구 성수일로 99 (성수동1가) 서울숲AK밸리 지식산업센터 1동 9층 909호,기타 전기 변환장치 제조업 외 4 종,태양광발전장치
(주)한국에이브이,"서울특별시 성동구 성수일로 77, 비207호 (성수동1가, 서울숲IT밸리)",전시 및 광고용 조명장치 제조업 외 5 종,"LED전광판, 미디어서버"
(주)한국에이브이산업,"서울특별시 성동구 성수이로7길 7, B1층 비105호, 711호 (성수동2가)",방송장비 제조업 외 1 종,스피커 ADA
(주)한국프린팅,"서울특별시 성동구 상원1길 26, 비201호 (성수동1가) 외 3필지",경 인쇄업 외 1 종,스티커
(주)한맥아이티,"서울특별시 성동구 상원1길 26, 207호 (성수동1가)",전시 및 광고용 조명장치 제조업 외 4 종,LED전광판
(주)한미더블유비오,서울특별시 성동구 아차산로17길 33 (성수동2가),세폭직물 제조업 외 1 종,밴드(의류부자재)
(주)한선바이투,"서울특별시 성동구 성수일로 77, 1101호 (성수동1가)",그 외 기타 의복액세서리 제조업,스카프
(주)한성에프아이,"서울특별시 성동구 천호대로 280, 4층 (올포유빌딩) (용답동)",남자용 겉옷 제조업 외 4 종,"골프, 캐쥬얼웨어"
(주)한세스,"서울특별시 성동구 아차산로 144, 303호 (성수동2가)",배전반 및 전기 자동제어반 제조업,배전반
(주)한양비이에스티교육,"서울특별시 성동구 천호대로 418, 202호 (용답동)",인형 및 장난감 제조업,과학교구
(주)한일문화사,"서울특별시 성동구 성수이로 144-29, B104호 (성수동2가) 외 1필지",기타 인쇄업 외 1 종,"인쇄,카렌다"
(주)한일티엠,"서울특별시 성동구 아차산로11가길 36 (성수동2가, 삼영빌딩)",그 외 기타 의료용 기기 제조업,레이져치료기(물리치료기)
(주)한포넷,"서울특별시 성동구 아차산로 96, 신성빌딩 B 203호 (성수동2가)",유선 통신장비 제조업,유선통신기기
(주)핫시즈너,서울특별시 성동구 성수이로18길 7 (성수동2가),떡류 제조업 외 2 종,"가래떡, 닭발, 분말스프"
(주)해외문화,"서울특별시 성동구 상원4길 8, 1층 (성수동1가)",기타 인쇄업 외 1 종,인쇄
(주)현대포멕스,"서울특별시 성동구, 7층 703, 1층 101호,102호 (성수동2가)",기타 조명장치 제조업,사진영상조명 부품
(주)협일전자산업,서울특별시 성동구 마조로19길 25 (마장동),기기용 자동측정 및 제어장치 제조업,소방용 댐버모터
(주)효성디지털프린팅,서울특별시 성동구 성수일로8길 22 (성수동2가),기타 인쇄업 외 1 종,학습지 인쇄
(주)효진기공,서울특별시 성동구 연무장3길 8-3 (성수동2가),그 외 기타 특수목적용 기계 제조업 외 1 종,산업용믹서기
(주)흥광기획,"서울특별시 성동구 광나루로6길 35, 우림이비즈센터 202호 (성수동2가)",전시 및 광고용 조명장치 제조업 외 1 종,광고물제조
(주)히즈윌,"서울특별시 성동구 성수이로26길 11, 2층 (성수동2가)",기타 인쇄업 외 2 종,"배너, 시트인쇄, 점자책"
(합)세화산업사,"서울특별시 성동구 연무장길 28-15 (성수동2가, 세화산업)",배전반 및 전기 자동제어반 제조업 외 8 종,"소각노, 화장기기,배전반"
JS슈즈디자인연구소,"서울특별시 성동구 연무장길 57, 2층 (성수동2가, 반석ENG)",구두류 제조업,남녀 구두
SP접착나라,"서울특별시 성동구 아차산로17길 30 (성수동2가, 기아자동차)",기타 인쇄관련 산업,포장용 판지용지
SP프린테크,서울특별시 성동구 아차산로17길 32(성수동2가),기타 인쇄관련 산업,"박스(화장품,약품 케이스)"
Y&C,"서울특별시 성동구 왕십리로 58, 지식산업센터 포휴 614호 (성수동1가)",가방 및 기타 보호용 케이스 제조업,가방 외
가나애드,"서울특별시 성동구 자동차시장1길 42, 301 (용답동)",간판 및 광고물 제조업,간판 및 광고물
강남드라이브(주),"서울특별시 성동구 성수일로 55, 1층 101 (성수동1가, SK테크노빌딩)",배전반 및 전기 자동제어반 제조업,인버터 판넬
강남유리,서울특별시 성동구 연무장길 115 (성수동2가),안전유리 제조업 외 1 종,23122
거산무역상사,"서울특별시 성동구 아차산로 144, 702호 (성수동2가)",그 외 기타 의료용 기기 제조업,의료용품
거성레이저,"서울특별시 성동구 성수일로10길 24, 1층 (성수동2가)",구조용 금속 판제품 및 공작물 제조업,조립금속제품
거성레이저,서울특별시 성동구 성수동2가 269-289번지,절삭가공 및 유사처리업,철판레이저가공폼
거인문화인쇄,"서울특별시 성동구 성수일로8길 5, B103호 (성수동2가)",기타 인쇄업 외 2 종,라벨
건물주,"서울특별시 성동구 아차산로5길 19 (성수동2가, 다본기업)",편조원단 제조업,원단
경남식품,서울특별시 성동구 광나루로6길 7 (성수동2가),두부 및 유사식품 제조업,"두부, 순두부"
경량공업(주),"서울특별시 성동구 성수일로10가길 19 (성수동2가, 동서전자)",일반철물 제조업,건축용강제받침재
경민정밀,"서울특별시 성동구 아차산로17길 57, 휴먼테코 B101호 (성수동2가)",볼트 및 너트류 제조업 외 3 종,"볼트, 너트"
경보전기(주),"서울특별시 성동구 성수일로12가길 5, 경보전기(주) (성수동2가)","전기회로 개폐, 보호장치 제조업 외 2 종","변압기,계전기,계측기,계기용변성기,지시전기계인기"
경성애드컴,"서울특별시 성동구 뚝섬로15길 17-19, 1층 (성수동2가)",기타 인쇄관련 산업,"인쇄포장자재(박스,종이봉투,비닐함지봉투)"
경지인쇄공사,서울특별시 성동구 성수이로26길 51 (성수동2가),기타 인쇄업 외 1 종,포장재
경지피앤씨,"서울특별시 성동구 광나루로 241 (송정동, (주)태영상사)",경 인쇄업 외 1 종,옵셋인쇄
경지피앤씨,"서울특별시 성동구 광나루로 241(송정동, (주)경지인쇄)",오프셋 인쇄업,인쇄
경진사,서울특별시 성동구 독서당로 208 (옥수동),그 외 기타 고무제품 제조업,"핀,단추"
경창기계(주),서울특별시 성동구 성수이로22길 25 (성수동2가),음ㆍ식료품 및 담배 가공기계 제조업,방앗간기계
경창정밀,"서울특별시 성동구 아차산로 49, B1층 102호 (성수동1가, 서울숲 코오롱디지털타워 Ⅲ) B1층 102호 외 1필지",음ㆍ식료품 및 담배 가공기계 제조업 외 1 종,"제빵, 떡 자동 성형기"
계림산업,"서울특별시 성동구 아차산로11길 27, 104호 (성수동2가)",그 외 기타 일반목적용 기계 제조업 외 1 종,"메카니칼씰(펌프,부속품)"
고려공사,"서울특별시 성동구 광나루로2길 36-1, 2층 (성수동2가)",도금업,메탈스티커
고려금속,서울특별시 성동구 둘레9길 17 (성수동1가),시계 및 시계부품 제조업,전자벽시계바늘
고려제화,서울특별시 성동구 성수일로12길 26 (성수동2가),구두류 제조업,구두
공감보호작업장,"서울특별시 성동구 아차산로 144, 302호(성수동2가, 우영테크노센터) 302호",전구 및 램프 제조업 외 3 종,조명기구
공방플러스위드,"서울특별시 성동구 마조로 2, 2층 (행당동)",그 외 기타 나무제품 제조업,"촉각 모형 키트, 친환경 우드 메달"
광명인쇄지기공업사,"서울특별시 성동구 성수이로18길 46 (성수동2가, 광명인쇄사옥)","적층, 합성 및 특수표면처리 종이 제조업",박스인쇄
광범기획,인천광역시 남동구 비류대로 622  (남촌동) 서울숲 아이티밸리 지하 201~202호,경 인쇄업 외 2 종,인쇄품
광성엔지니어링,서울특별시 성동구 광나루로 233 (송정동),디지털 적층 성형기계 제조업 외 3 종,금속형기계제조
광익인쇄사,서울특별시 성동구 성수일로 39-30 (성수동1가),기타 인쇄업 외 1 종,"사무용서식, 카다로그"
광일엔지니어링,서울특별시 성동구 왕십리로 66-33 (성수동1가),음ㆍ식료품 및 담배 가공기계 제조업,전기재료기식품기계
광진문화,"서울특별시 성동구 왕십리로14나길 11, 지하1층, 지상1,2층 (성수동1가)",기타 인쇄업 외 1 종,인쇄물
광천산업,"서울특별시 성동구 뚝섬로15길 16 (성수동2가, 광천산업인쇄공장)",기타 인쇄업 외 1 종,인쇄
권숙창,서울특별시 성동구 성수이로 86 (성수동2가),비주거용 건물 임대업,제조품
