순번,회사명,대표자명,생산품,공장대표주소(도로명),업종명
572,신광프린테크,윤세진,박스,"서울특별시 영등포구 선유로49길 6 (양평동4가, 신광인쇄공장)",기타 인쇄업 외 1 종
573,신성인쇄공업사,심재수,"인쇄물(케이스), 단상자",서울특별시 영등포구 양평로21다길 10 (양평동5가),기타 인쇄관련 산업
574,신성정밀,김현순,절삭가공,서울특별시 영등포구 경인로92길 6 (문래동1가),절삭가공 및 유사처리업
575,신영기계,장일문,산업기계부품,서울특별시 영등포구 도림로145길 22 (문래동4가),금속 절삭기계 제조업
576,신우기전,신흥식,모터펌프,서울특별시 영등포구 영등포로81길 7 (신길동),액체펌프제조업
577,신원강재(주),윤용석,"경량철골(천정,벽체용)",서울특별시 영등포구 영등포동1가 75-4번지,육상 금속 골조 구조재 제조업 외 1 종
578,신일기획문화(주),이춘화,"인쇄,출판기획홍보",서울특별시 영등포구 당산동6가 344-8번지,기타 인쇄업 외 1 종
579,신일초음파,유철종,초음파기기 냉동기,서울특별시 영등포구 경인로74길 1-5 (문래동1가),전자 응용 절삭기계 제조업 외 2 종
580,신진기획인쇄,김기숙,인쇄물,서울특별시 영등포구 문래로 181 (영등포동4가),"플라스틱 선, 봉, 관 및 호스 제조업"
581,신진다이아몬드(주),차수일,초정밀 다이아몬드공구,서울특별시 영등포구 양평로12길 22 (당산동6가) 신진다이아몬드(주),톱 및 호환성 공구 제조업 외 1 종
582,신한전기공업(주),박길상,변압기,"서울특별시 영등포구 선유서로 3 (문래동5가, 신한전기주식회사)",전동기 및 발전기 제조업 외 3 종
583,신화중공업,장태진,"건설장비,우압실린더,기계공구","서울특별시 영등포구 국회대로56길 5, 1층 (영등포동7가)",유압기기 제조업
584,신흥기기정밀,이경순,조립용특수공구,서울특별시 영등포구 도림로141다길 19-3 (문래동4가),그 외 기타 특수목적용 기계 제조업 외 1 종
585,신흥테크,이성관,사원증 및 목걸이전자인쇄,"서울특별시 영등포구 경인로 775, 1동 13층 1301호 (문래동3가, 에이스하이테크시티)",기타 인쇄업 외 1 종
586,썬스타 문화특수 제작,전병주,"기기제작(여과기, 식품탱크)",서울특별시 영등포구 도림로128길 11-1 (문래동3가),"기타 비철금속 제련, 정련 및 합금 제조업 외 3 종"
587,씨디콤,최옥균,전자카드,"서울특별시 영등포구 양산로 43, 8층 804호 (양평동3가, 양평동우림 이 비지센타)",전자저항기 및 전자카드 제조업
588,씨씨아이,서경자,"안내판, 번호판 등","서울특별시 영등포구 양평로22길 21, B1층 B107호 (양평동5가, 선유도 코오롱디지털타워)",간판 및 광고물 제조업 외 2 종
589,아마노코리아(주),전명진,주차장차단기,"서울특별시 영등포구 양산로 43, 4층 407호 (양평동3가, 양평동우림 이 비지센타)",기타 물품 취급장비 제조업 외 2 종
590,아비스텍,박종설,방송장비(자막기),"서울특별시 영등포구 가마산로 364, 6층 (대림동)",비디오 및 기타 영상기기 제조업
591,아산공업,김준기,전동식엑츄에어터,서울특별시 영등포구 영등포로5길 45 (양평동2가),배전반 및 전기 자동제어반 제조업
592,아산에스티,안명준,산업용 컴퓨터,"서울특별시 영등포구 양산로 43, 3층 309 (양평동3가, 양평동우림 이 비지센타)",컴퓨터 제조업 외 1 종
593,아성무역,이공명,"소방시험장비, 소방관리업장비",서울특별시 영등포구 문래로20길 60 (문래동3가) 메가벤처타워,"물질 검사, 측정 및 분석기구 제조업 외 2 종"
594,아성엔지니어링,차도균,유압 드리프터 및 부품,서울특별시 영등포구 국회대로54길 53-8 (영등포동2가),건설 및 채광용 기계장비 제조업 외 4 종
595,아세아기업사,이유랑,철도용품,서울특별시 영등포구 경인로72길 11 (문래동1가),철도차량 부품 및 관련 장치물 제조업 외 42 종
596,아세아정밀,조득호,특수기계부품,서울특별시 영등포구 당산로16길 6 (당산동1가),그외기타분류안된특수목적용기계제조업
597,아시아방수,김병창,방수제,서울특별시 영등포구 도신로53길 23 (신길동),그 외 기타 분류 안된 화학제품 제조업 외 2 종
598,아이에스월드,서민호,"여성용,남서용의류","서울특별시 영등포구 당산로48길 6 (당산동6가, 대호빌딩)",여자용 겉옷 제조업
599,아이티에스엔지니어링(주),김정구,주차관제설비,"서울특별시 영등포구 경인로 775, 1동 지하층 219호 1동 지하층 219호 (문래동3가)",교통 신호장치 제조업 외 29 종
600,아이프린팅,심미경 ,인쇄물,"서울특별시 영등포구 경인로82길 3-4, 센터플러스 지하 217호, 지하 222호 (문래동1가)",기타 인쇄업 외 3 종
601,아인시스아이엔씨,오종봉,컴퓨터 서버 및 네트워크 장비,"서울특별시 영등포구 선유로13길 25, 705~706호 (문래동6가)",컴퓨터 제조업
602,아진화학,지우근,건축자재,서울특별시 영등포구 선유로 176 (양평동3가),도금업
603,아트웍,허태성,플랜트  건축 산업설비 전시모형 맞춤제작,"서울특별시 영등포구 선유로33길 15, 6층 602호 (양평동3가, 에이스테크노타워) 6층 602호",전시용 모형 제조업
604,안전유압기계,김정규,유압기,서울특별시 영등포구 경인로 719 (문래동2가),금속 절삭기계 제조업 외 8 종
605,알바이오텍 주식회사,김영국,"운동성시험평가장치, 전동식정형용운동장치","서울특별시 영등포구 경인로 775 (문래동3가, 에이스하이테크시티) 2동 17층층 2-1704호",그 외 기타 의료용 기기 제조업
606,알앤티,노태원,"LED손전등,손전등","서울특별시 영등포구 양산로 43, 우림이비즈센터 401호 (양평동3가)",일반용 전기 조명장치 제조업 외 1 종
607,에바론정밀,안광창,단말시험기,서울특별시 영등포구 도림로139길 11-1 (문래동2가),"전자기 측정, 시험 및 분석기구 제조업 외 1 종"
608,에스영테크놀러지,이충구,"변압기, 배전반 및 자동제어기, 철도차량부품 및 장치물",서울특별시 영등포구 선유서로30길 30 (양평동1가),변압기 제조업 외 2 종
609,에스케이 에어로,최재순,"소켓,이너튜브,의료용밸브,의료용지팡이,항공기용부싱,로켓발사대 등",서울특별시 영등포구 경인로80길 7-3 (문래동1가),무기 및 총포탄 제조업 외 7 종
610,에스큐아이소프트(주),"조영준, 현재호","컴퓨터서버, 영상정보디스플레이장치, 무인안내시스템, 무인안내시스템, 디지털전광판, 방화벽장치","서울특별시 영등포구 선유로3길 10, 13층 (문래동5가)",유선 통신장비 제조업 외 5 종
611,에이스디자인,김재선,플라스틱샘플,서울특별시 영등포구 도림로128가길 14 (문래동3가),"용기 세척, 포장 및 충전기 제조업"
612,에이스마하이엔지 주식회사,전영배,청소용노즐,"서울특별시 영등포구 영신로 220, 3층 305 (영등포동8가)","탭, 밸브 및 유사장치 제조업"
613,에이스테크,박경호,화장품 제조용 믹서,서울특별시 영등포구 선유로 176 (양평동3가),그외기타분류안된특수목적용기계제조업
614,에제르상사,엄준용,핸드백,"서울특별시 영등포구 가마산로46가길 22, 지층 (대림동)",핸드백 및 지갑 제조업
615,에피텍(주),송석용,분포형온도센서 시스템,"서울특별시 영등포구 양평로22길 21, 12층 1213,1214,B201,B202호 (양평동5가, 선유도 코오롱디지털타워)","물질 검사, 측정 및 분석기구 제조업"
616,엔씨비디테일,이정근,광고물 제작,"서울특별시 영등포구 경인로82길 3-4, 센터플러스빌딩 905호 (문래동1가)",간판 및 광고물 제조업 외 1 종
617,엠비에스코리아(주),박영구,빌딩자동제어,"서울특별시 영등포구 선유로33길 15, 2층 201호 (양평동3가)",배전반 및 전기 자동제어반 제조업 외 1 종
618,엠에스원디지털(주),엄종만,영사막스크린,"서울특별시 영등포구 양산로 53, 4층 406호 (양평동3가, 월드메르디앙비즈센터) 외 1필지",기타 광학기기 및 사진기 제조업 외 1 종
619,연준ENG,노병천,"반도체장비 및 부품,정밀부품가공","서울특별시 영등포구 선유로13길 25, b105호 (문래동6가)",금속 절삭기계 제조업 외 1 종
620,영광기계,김귀언,"유압실린더,유압브레이커","서울특별시 영등포구 문래로 31 (문래동6가, 반도정밀(주))",그외기타분류안된특수목적용기계제조업
621,영신엔지니어링,이서종,자동화기계,서울특별시 영등포구 영신로 175 (당산동3가),"용기 세척, 포장 및 충전기 제조업"
622,영신중공업(주),정영택,"전동기, 발전기, 수처리기계, 송풍기, 변압기 외","서울특별시 영등포구 선유로43나길 10-1, 지하1층, 1층, 2층 (양평동3가, 영신중공업공장)",전동기 및 발전기 제조업 외 11 종
623,영원실업,이원영,프라스틱사출금형부품제조,"서울특별시 영등포구 선유로33길 15, 에이스테크노타워 101호 (양평동3가)",주형 및 금형 제조업
624,영일도금,조민규,기계부품도금,서울특별시 영등포구 경인로76길 6 (문래동1가),"도금, 착색 및 기타 표면처리강재 제조업"
625,영일보링공업사,김원철,차량전비,서울특별시 영등포구 영중로 124 (영등포동8가),산업용 트럭 및 적재기 제조업 외 1 종
626,영일샤링,이재형,절곡전단가공,서울특별시 영등포구 경인로112길 7 (영등포동1가),구조용 금속 판제품 및 공작물 제조업
627,영주자동기,김영구,자동화기계,서울특별시 영등포구 당산로 8-5 (문래동3가),"용기 세척, 포장 및 충전기 제조업"
628,영진금속,송학영,AL전자부품,서울특별시 영등포구 선유로 176 (양평동3가),도장 및 기타 피막처리업
629,영진문화,양승천,상업인쇄물,서울특별시 영등포구 영신로30길 12 (영등포동4가),기타 인쇄업 외 1 종
630,영진애드컴,조재환,"상업인쇄물,책자",서울특별시 영등포구 문래로 149 (문래동3가),기타 인쇄업 외 1 종
631,영진정밀,노수창,기계 부품,서울특별시 영등포구 경인로74길 13-1 (문래동1가),디지털 적층 성형기계 제조업 외 1 종
632,영진정밀화학주식회사,송학영,알미늄 인가공,서울특별시 영등포구 선유로 176 (양평동3가) 44호,도장 및 기타 피막처리업
633,영풍특수금속,정형조,도금,"서울특별시 영등포구 선유로 176, 66호 (양평동3가)",도금업
634,영화인쇄(주),김흥기,인쇄물,서울특별시 영등포구 양평로28다길 5 (양평동6가),기타 인쇄업 외 1 종
635,예몽시스템(주),이봉이,CCTV카메라 및 부대장비,"서울특별시 영등포구 양평로22길 21, B1층 104 (양평동5가, 선유도 코오롱디지털타워)",방송장비 제조업
636,예원테크(주),강병수,녹음재생기(카세트플레이어),"서울특별시 영등포구 도신로62길 24-1, 지하 (신길동)","라디오, 녹음 및 재생 기기 제조업"
637,예인한의원,김성학,컴퓨터기기,서울특별시 영등포구 선유로45길 16 (양평동4가),컴퓨터 제조업 외 2 종
638,예치과기공소,전덕기,치기공물,"서울특별시 영등포구 경인로82길 3-4, 센터플러스 707호 7층 707호 (문래동1가)",치과기공물 제조업 외 2 종
639,예프린팅,김광훈,"인쇄물, 현수막 등","서울특별시 영등포구 경인로82길 3-4, 9층 914호 (문래동1가, 센터플러스)",기타 인쇄업 외 2 종
640,오산문화인쇄,최송균,인쇄출판물,"서울특별시 영등포구 경인로82길 3-4, B304호 (문래동1가)",기타 인쇄업 외 1 종
641,오성문화,김경희,인쇄물,"서울특별시 영등포구 양평로28마길 24 (양평동6가, 상문상사)",기타 인쇄업 외 1 종
642,오성정밀,이인영,기계부품,서울특별시 영등포구 도림로145길 17 (문래동4가),그 외 기타 일반목적용 기계 제조업 외 1 종
643,오일팔민주화운동부상자회한국민주복지(주),"김후식,윤소년","배전반,수전반",서울특별시 영등포구 선유로23길 12-1 (양평동1가),배전반 및 전기 자동제어반 제조업
644,오픈네트써비스(주),윤준호,"컴퓨터 및 주변기기, 정보통신기기","서울특별시 영등포구 양평로 149, 9층 901호 (양평동5가, 선유도 우림라이온스밸리A)",컴퓨터 제조업
645,오픈스카이파트너스(주),손성호,천체사진기,"서울특별시 영등포구 국회대로76길 33, 중앙보훈회관 604호 (여의도동, 중앙보훈회관)",기타 광학기기 및 사진기 제조업
646,옥수금속주식회사,임옥수,철판류,서울특별시 영등포구 선유로 176 (양평동3가),자동차용 금속 압형제품 제조업 외 16 종
647,온세텔레콤(주),박준학,전자코일,"서울특별시 영등포구 당산로 161, 2층 (당산동4가)","전자코일, 변성기 및 기타 전자 유도자 제조업 외 8 종"
648,와이월드(주),유병주,"프라임미트, 양념육","서울특별시 영등포구 경인로 775, 1동 B2층 B209호 (문래동3가, 에이스하이테크시티), B3층B313호~B316호 외 1필지",육류 기타 가공 및 저장처리업 (가금류 제외) 외 3 종
649,용선정밀,서영범,다이케스팅부품,서울특별시 영등포구 도림로139길 10 (문래동2가),주형 및 금형 제조업
650,용진기업,임수자,소폭직물,서울특별시 영등포구 대림로40길 6 (대림동),세폭직물 제조업
651,우리기획,박기민,"실사출력,현수막, 간판,실크인쇄","서울특별시 영등포구 경인로82길 3-4, 센터플러스 B 109호 (문래동1가)",간판 및 광고물 제조업
652,우림문화사,김영철,기타인쇄,서울특별시 영등포구 선유서로25길 26 (양평동2가),기타 인쇄업 외 1 종
653,우성기계공업사,유기대,사출 성형기계,서울특별시 영등포구 양평로23길 14 (양평동5가),디지털 적층 성형기계 제조업 외 1 종
654,우성실업,김상국,낚시부품,"서울특별시 영등포구 가마산로34길 3 (대림동, 우성빌딩)",낚시 및 수렵용구 제조업
655,우암비즈(주),정인호,간판 및 광고물,서울특별시 영등포구 양평로 158 (양평동5가),간판 및 광고물 제조업 외 1 종
656,우영기계,정세용,고압그리스펌프및부품,"서울특별시 영등포구 경인로82길 3-4, 센터플러스 108호 (문래동1가)",기체 펌프 및 압축기 제조업
657,우정용접,송정우,"소켓, 인너튜브, 의료용밸브 등","서울특별시 영등포구 도림로141다길 20, 1층 (문래동4가)",절삭가공 및 유사처리업 외 7 종
658,원광특수공구,조광섭,동력전달장치및절삭공구,서울특별시 영등포구 경인로 708 (문래동1가),톱 및 호환성 공구 제조업 외 3 종
659,원일식품,권공남 외 1,떡류,서울특별시 영등포구 도신로 135 (도림동),떡류 제조업
660,월드엠에스,김송식,각종안내문 봉합,"서울특별시 영등포구 양평로28마길 7, 2층 (양평동6가)",기타 인쇄관련 산업
661,위저드,김범열,"사진출력,현수막","서울특별시 영등포구 양산로 43, 606호 6층 606호 (양평동3가)",기타 인쇄업 외 3 종
662,유니셀계기산업,이영섭,속도계,서울특별시 영등포구 도신로 140 (신길동),속도계 및 적산계기 제조업
663,유라네트웍스(주),송영목,"광 전송장비, L2 산업용스위치",서울특별시 영등포구 양평로21길 26 (양평동5가) 13층 1301호,유선 통신장비 제조업
664,유로테크,이재응,금형부품(핫러너시스템),"서울특별시 영등포구 경인로82길 3-4, 2층 206 (문래동1가, 센터플러스)",주형 및 금형 제조업
665,유명오토팩,김명환,포장기계,서울특별시 영등포구 경인로77길 54 (문래동4가),"용기 세척, 포장 및 충전기 제조업"
666,유비트론(주),"박성종,김태호",IC카드,"서울특별시 영등포구 양산로 43, 12층 1207호 (양평동3가, 양평동우림 이 비지센타)",전자저항기 및 전자카드 제조업
667,유성특수합금,장준수,기계 부품,"서울특별시 영등포구 도림로133길 1, .(문래동2가)",그 외 기타 분류 안된 금속 가공 제품 제조업
668,유창ENG,임낙모,"해충유인퇴치기, 송풍기",서울특별시 영등포구 경인로82길 3-3 (문래동1가),그 외 기타 달리 분류되지 않은 제품 제조업 외 1 종
669,유한정밀,윤신용,도시가스배관기계(융착기),서울특별시 영등포구 도림로147길 10 (문래동4가),유압기기 제조업 외 1 종
670,유현 주식회사,조유현,TM156WCU,"서울특별시 영등포구 선유로9길 10, B107호(문래동6가, 문래 SK V1 center) B107호",기타 주변기기 제조업 외 1 종
671,윤창기계,김종관,"전자응용공작기계, 특수목적용기게제조, 천공기 제조",서울특별시 영등포구 경인로80길 3-11 (문래동1가),전자 응용 절삭기계 제조업 외 2 종
672,으뜸피앤디(주),김이백,인쇄물,"서울특별시 영등포구 경인로82길 3-4, 비204, 비205호(문래동1가, 센터플러스) 비204, 비205호",경 인쇄업 외 2 종
673,은원쏠라사인,송준영,간판 및 광고물,"서울특별시 영등포구 대림로34가길 16, 지하1층, 1층 (대림동)",간판 및 광고물 제조업
674,이레엔지니어링,곽동용,"부스타펌프조립,제작","서울특별시 영등포구 경인로82길 3-4, 4층 406호 (문래동1가, 센터플러스)",액체펌프제조업
675,이스턴섬유(주),김형진,섬유제품,서울특별시 영등포구 여의대방로47나길 19 (신길동),그 외 기타 분류 안된 섬유제품 제조업
676,이안플러스 주식회사,정인영,컴퓨터서버,"서울특별시 영등포구 선유로 130, 9층 905호 (양평동3가, 에이스 하이테크시티3) 9층 905호",컴퓨터 제조업
677,이에스엠티(주),이종화,의료기기,"서울특별시 영등포구 대림로34다길 2, 지층 (대림동, ESMT빌딩)",그 외 기타 의료용 기기 제조업
678,이와세코스파한국 주식회사,카시오히데키,화장품,"서울특별시 영등포구 영등포로 150(당산동1가, 생각공장 당산) B동동 12층층 B1209호",화장품 제조업
679,이주씨스템(주),이복균,유성통신장비 및 방송기기,"서울특별시 영등포구 가마산로90길 22, 2층 (신길동)",유선 통신장비 제조업 외 12 종
680,익수산업,김영남,"고무, 실리콘, 우레탄, 브러쉬 제품",서울특별시 영등포구 도림로133길 5 (문래동2가) 1층,그 외 기타 고무제품 제조업 외 5 종
681,일진산기(주),이문배,"기계공구, 금속절삭가공기계 등",서울특별시 영등포구 경인로94길 5 (문래동1가),비동력식 수공구 제조업 외 3 종
682,일흥정공,이병윤,"전동차전기부품,기계부품,주형및금형",서울특별시 영등포구 경인로77길 38 (문래동4가),절삭가공 및 유사처리업 외 2 종
683,자인과학,김용운,과학기계,서울특별시 영등포구 경인로72길 11-4 (문래동1가),그 외 기타 특수목적용 기계 제조업 외 1 종
684,장안산업(주),김형삼,전기기기,"서울특별시 영등포구 경인로 775, 1동 B2층 B205 (문래동3가, 에이스하이테크시티)",절연 코드세트 및 기타 도체 제조업
685,장애인고용봉사회,이종한,기능성침전차류,"서울특별시 영등포구 버드나루로12나길 48 (영등포동2가, 신단빌딩)",장식용 목제품 제조업 외 3 종
686,전진사,최영건,"전단지,책자,스티커","서울특별시 영등포구 경인로82길 3-4, B206호 (문래동1가)",경 인쇄업 외 1 종
687,전파상,목진요,소니컬럼,"서울특별시 영등포구 경인로82길 3-4, 센터플러스 917 917호 (문래동1가)",그 외 기타 전자부품 제조업 외 1 종
688,점보물산(주),오창재,전자부품,서울특별시 영등포구 양평로22길 14 (양평동4가),그 외 기타 전자부품 제조업 외 1 종
689,정공사,안상협,상업용유압부품,서울특별시 영등포구 양평로19길 36 (양평동4가),도금업
690,정도시험기연구소,이성주,전기도금기기,서울특별시 영등포구 경인로80길 3-18 (문래동1가),그 외 기타 전기장비 제조업 외 2 종
691,정보산업,김관중,알루미늄 샨트,"서울특별시 영등포구 선유로33길 15, 803호(양평동3가, 에이스테크노타워)",그 외 기타 전기장비 제조업
692,정수메이커,김의찬,"소켓, 인너튜브, 의료용밸브 등",서울특별시 영등포구 도림로125가길 16 (문래동2가),절삭가공 및 유사처리업 외 7 종
693,정우철강,김영상,"클립,와샤",서울특별시 영등포구 경인로90길 9-5 (문래동1가),절단가공및표면처리강재생산업
694,정우프린팅,신병탁,인쇄물,"서울특별시 영등포구 경인로82길 3-4, B1층 115 (문래동1가, 센터플러스) B1층 115호",오프셋 인쇄업
695,정원디자인,이진옥,"각종인쇄물, 디자인","서울특별시 영등포구 경인로82길 3-4, 6층 618 (문래동1가, 센터플러스)",경 인쇄업 외 1 종
696,정일기획,정일옥.이은경,"간판,제작및설치","서울특별시 영등포구 당산로 176 (당산동4가, 청암빌딩)",간판 및 광고물 제조업 외 1 종
697,정풍식품,이병진,두부유사식품,서울특별시 영등포구 도림로139가길 8 (문래동2가),두부 및 유사식품 제조업 외 2 종
698,조은디자인,김효진 외 1명,"현수막, 간판",서울특별시 영등포구 신길로 239 (영등포동) 외 1필지,간판 및 광고물 제조업
699,조은문화,황순자,인쇄물,"서울특별시 영등포구 경인로82길 3-4, B동 3층 306 (문래동1가, 센터플러스)",경 인쇄업 외 3 종
700,종합싱크대,이석희,주방가구,"서울특별시 영등포구 도신로65길 1 (신길동, 믿음피아노학원)",주방용 및 음식점용 목재가구 제조업
701,주식회사  보스테크,이헌웅,컴퓨터서버,"서울특별시 영등포구 당산로41길 11,(당산동4가, 당산 SK V1 center) 더블유동 B층 B133호 외 2필지",컴퓨터 제조업
702,주식회사 네브시스,"김성진, 김동현",GNSS 수신기,"서울특별시 영등포구 양평로 149,  A동 901호(양평동5가, 선유도 우림라이온스밸리 A)","레이더, 항행용 무선기기 및 측량기구 제조업"
703,주식회사 닷밀,정해운,"컴퓨터서버, 특수목적컴퓨터, 실물모형및전시물, 조형물, 조형물","서울특별시 영등포구 양평로30길 14, 지3층층 B302호  (양평동6가) 지3층층 B302호",간판 및 광고물 제조업 외 3 종
704,주식회사 대영계전기술,홍태원,H2 분석기 System,"서울특별시 영등포구 경인로 775 (문래동3가, 에이스하이테크시티) 1동 11층 1101호",산업처리공정 제어장비 제조업
705,주식회사 대유기획인쇄,유보현,인쇄물,서울특별시 영등포구 문래북로 140-1 (문래동3가) 1층,기타 인쇄관련 산업 외 3 종
706,주식회사 대진특수도료,민성기,불연섬유제,"서울특별시 영등포구 가마산로 321, 지하 (대림동)",그 외 기타 분류 안된 비금속 광물제품 제조업 외 4 종
707,주식회사 드림프린팅,이명조,"카다로그, 브로셔, 전단지, 포스터","서울특별시 영등포구 경인로82길 3-4 (문래동1가, 센터플러스) B2층 202호 외 1필지",오프셋 인쇄업 외 2 종
708,주식회사 디에스앤지,서정열,컴퓨터서버,"서울특별시 영등포구 경인로 775, 1동 5층 512,513 (문래동3가, 에이스하이테크시티)",컴퓨터 제조업
709,주식회사 디자인여백플러스,이은호,인쇄물,"서울특별시 영등포구 선유로 70, 4층 409 (문래동3가, 우리벤처타운2) 4층 409호",경 인쇄업 외 2 종
710,주식회사 디자인코코,최병열,"유가상품권, 모바일상품권,지류쿠폰,지류복권",서울특별시 영등포구 도신로15길 32 (도림동) 1층,기타 인쇄관련 산업 외 6 종
711,주식회사 레이컴,신성웅,"방폭용 태그, 방폭용 비콘, 크랙몬","서울특별시 영등포구 영등포로 150(당산동1가, 생각공장 당산) A동 지하1층층 153P호",기타 무선 통신장비 제조업 외 3 종
712,주식회사 리더스시스템즈,이부석,컴퓨터서버,"서울특별시 영등포구 영신로 166, B103호 (영등포동6가, 영등포 반도아이비밸리) B103호",컴퓨터 제조업
713,주식회사 리안시스템,"원미리, 진종태",컴퓨터  및 컴퓨터 주변기기,"서울특별시 영등포구 선유로3길 10 (문래동5가) 하우스디 비즈 903, 904, 905호",컴퓨터 제조업 외 7 종
714,주식회사 마샬테크놀로지,최규상,마이크살균소독기,서울특별시 영등포구 당산로 122 (당산동3가) 우미빌딩 207호,기타 음향기기 제조업
715,주식회사 마움프린팅,차재완,인쇄물,"서울특별시 영등포구 경인로82길 3-4, 206호(문래동1가, 센터플러스) 206호",경 인쇄업
716,주식회사 마이즈,"강지영, 김영훈","출입통제시스템, 도서관리시스템, 기타주변기기, 금속잠금장치","서울특별시 영등포구 양평로12가길 10, 소윤스타빌 B1층 B01,B02호 (당산동6가)",유선 통신장비 제조업 외 3 종
717,주식회사 메디트,고규범,구강스캐너,"서울특별시 영등포구 양평로25길 8, 9층,10층 B106호,B201호(양평동5가, URBAN322) 9층,10층 B106호,B201호",치과용 기기 제조업
718,주식회사 미리내솔루션,진종태,컴퓨터서버,"서울특별시 영등포구 선유로3길 10, (문래동5가, 하우스디 비즈) 하우스디 비즈동 5층층 511호",컴퓨터 제조업
