순번,회사명,공장대표주소(도로명),업종명,생산품
1,(주)거봉어패럴,"서울특별시 중랑구 동일로 814, 지층 (중화동, 광천빌딩)","천막, 텐트 및 유사 제품 제조업 외 8 종",의류
2,(주)경성코리아,서울특별시 중랑구 망우로76길 7 (망우동),가죽의복 제조업,가죽(피혁)의류
3,(주)관보테크,"서울특별시 중랑구 망우로 423 (망우동, 대신장여관)",기타 가정용 전기기기 제조업,옥타브높이조절세면대
4,(주)그린주의,"서울특별시 중랑구 신내역로3길 40-36,(신내동, 신내 데시앙플렉스 지식산업센터) 지하동동 지하2층층 FB203호",문구용 종이제품 제조업 외 2 종,"복사용지, CCTV"
5,(주)그린주의,"서울특별시 중랑구 봉화산로 123, 8층 802호(상봉동, 신내테크노타운) 8층 802호",전시 및 광고용 조명장치 제조업 외 2 종,"안내 전광판, 기상 전광판, 교통정보 전광판, 영상정보 디스플레이 장치"
6,(주)김스애드,서울특별시 중랑구 용마산로 474 (망우동),간판 및 광고물 제조업 외 21 종,"근무복, 작업복, 남자용 겉옷, 여자용 겉옷, 나무제품, 콘크리트 제품, 석제품, 알루미늄 제품, 금속 제품, 금속 공작물, 금속 골조, 금속 골조, 금속 포장용기, 금속 표지판, 피복, 금속가공품, 전자감지장치, 유선통신장비, 방송장비, 전시 장치, 광고물, 전시모형, 금속가구"
7,(주)나라물산,"서울특별시 중랑구 용마산로 488, 유진빌딩 2층 (망우동)","근무복, 작업복 및 유사의복 제조업 외 5 종",의류
8,(주)네오미스,"서울특별시 중랑구 봉화산로 123, 603호 (상봉동)",그 외 기타 의료용 기기 제조업,의료기기제조업(자동혈압계외)
9,(주)네오피에스,"서울특별시 중랑구 봉화산로 123, 701호(상봉동, 신내테크노타운) 701호",남자용 겉옷 제조업 외 4 종,"남녀용 겉옷, 셔츠 및 블라우스, 근무복, 작업복, 기타 봉제의복, 여자용 겉옷"
10,(주)노벨이노베이션스,"서울특별시 중랑구 동일로157길 60, 지하1층 오른쪽 (묵동, 기림빌딩)",그 외 기타 의복액세서리 제조업,기능성 쿨 스카프
11,(주)뉴스타트디자인코리아,서울특별시 중랑구 공릉로12가길 14 (묵동),그 외 기타 봉제의복 제조업 외 5 종,의류
12,(주)다미상사,서울특별시 중랑구 중화제3동 306-50번지 DMC빌딩4층,기타 직물제품 제조업,"안경,광학,미용용,자동차용클리너"
13,(주)대륭엔지니어링,서울특별시 중랑구 겸재로 218 (면목동),"전기회로 개폐, 보호장치 제조업 외 2 종",자동제어기기외
14,(주)대림음향,서울특별시 중랑구 동일로 815 (중화동),"방송수신기및기타영상,음향기기제조업","핸드폰,이어폰스피커"
15,(주)대주메디테크엔지니어링,"서울특별시 중랑구 망우로 487, 3층 301호 (망우동, 성암빌딩)",그 외 기타 의료용 기기 제조업,의료기기
16,(주)데코,"서울특별시 중랑구 상봉중앙로1길 20, 3층 (상봉동)",일반용 전기 조명장치 제조업,조명기구
17,(주)동명양행,서울특별시 중랑구 겸재로28길 48 (면목동),"근무복, 작업복 및 유사의복 제조업 외 13 종","의류,침장,배낭,군복등"
18,(주)동양메디칼시스템,"서울특별시 중랑구 용마산로 248, 302호 (면목동)",그 외 기타 의료용 기기 제조업,자동필름현상기
19,(주)디앤제이 무역,"서울특별시 중랑구 망우로 499, 2층 (망우동, 무궁화태권도)","근무복, 작업복 및 유사의복 제조업 외 6 종","근무복,작업복"
20,(주)디엠라인,"서울특별시 중랑구 동일로121길 16, 지층(중화동, 동진빌딩)",경 인쇄업,"봉투, 안내문 제작, 인쇄, 발송"
21,(주)라이프업,"서울특별시 중랑구 봉우재로 82 (면목동, 현대교회)",남자용 겉옷 제조업,남자용코트류
22,(주)리미티드디케이,"서울특별시 중랑구 면목로 267, (2층) (면목동)",셔츠 및 블라우스 제조업 외 2 종,의류
23,(주)리플렉스,"서울특별시 중랑구 신내역로 111,(신내동, 신내 SK V1 center) A동 4층 401호","전자기 측정, 시험 및 분석기구 제조업 외 2 종","전자기 분석장비, GPS 신호분석장치"
24,(주)만드는 김백,"서울특별시 중랑구 용마공원로 23-1, 지1층(망우동)","근무복, 작업복 및 유사의복 제조업 외 2 종","근무복, 작업복, 유니폼, 정복, 체육복 등"
25,(주)매인앤코,"서울특별시 중랑구 망우로30길 8, 5층 (상봉동)",편조의복 제조업,니트웨어
26,(주)매인앤코,"서울특별시 중랑구 망우로30길 8, 5층 (상봉동)",편조의복 제조업,니트웨어
27,(주)메디칼랜드코리아,"서울특별시 중랑구 동일로109길 89, 2층 (면목동)",그 외 기타 의료용 기기 제조업,"카데타 캐뉼라,의료용봉합침 외"
28,(주)모던어패럴,서울특별시 중랑구 봉화산로54길 23 (신내동),그 외 기타 분류 안된 섬유제품 제조업,니트의류
29,(주)모컴테크,"서울특별시 중랑구 중랑역로 209 (묵동, 새생명교회)",컴퓨터 모니터 제조업 외 1 종,컴퓨터영상기기
30,(주)문화코드,"서울특별시 중랑구 동일로 899, 4층 (묵동)",그 외 기타 달리 분류되지 않은 제품 제조업 외 1 종,환경풍선
31,(주)미디어만경,서울특별시 중랑구 망우로 289 (상봉동),간판 및 광고물 제조업,"광고물,간판"
32,(주)미소라이팅,"서울특별시 중랑구 신내역로 111,(신내동, 신내 SK V1 center) A동 2층 218호 외 2필지",일반용 전기 조명장치 제조업,조명기구
33,(주)미우크레이티브 중랑지점,"서울특별시 중랑구 사가정로46길 80, 19 (면목동)","치약, 비누 및 기타 세제 제조업",천연비누
34,(주)바이오초이스,"서울특별시 중랑구 중랑천로12길 10, B동 2층 202호 (상봉동)",건강기능식품 제조업,기타 농산가공식품
35,(주)보그인터내셔날,서울특별시 중랑구 면목로60길 8 (면목동),가죽의복 제조업,"가죽,모피제품"
36,(주)부광어패럴,"서울특별시 중랑구 신내역로3길 40-36,(신내동) A동동 지상4층층 A-408호",남자용 겉옷 제조업 외 3 종,"의류, 유니폼 작업복 및 유사의복"
37,(주)비엔에프아이디,"서울특별시 중랑구 동일로 565 (면목동, 광림빌딩)",톱 및 호환성 공구 제조업 외 1 종,"전기릴, 호스릴, 스프링바란서, 각종 산업용 릴"
38,(주)비즈모아코리아,"서울특별시 중랑구 망우로 514, 1층(망우동)",기타 음향기기 제조업 외 2 종,"소형 음향기기, 반자동 살균소독기, 스마트램프"
39,(주)비케이정보시스템,"서울특별시 중랑구 신내역로3길 40-36,(신내동) A동동 지상12층층 A-1219호",유선 통신장비 제조업,"출입통제시스템 (RF리더기, ACU)"
40,(주)삼광베베,서울특별시 중랑구 사가정로52길 16 (면목동),유아용 의복 제조업,소아용의류일체
41,(주)삼성와캠프컴퍼니,"서울특별시 중랑구 면목로 452, 지하층 좌측 (면목동)",남자용 겉옷 제조업 외 4 종,의류
42,(주)상향무역,"서울특별시 중랑구 사가정로41길 9 (면목동, 면목1차두산아파트)","근무복, 작업복 및 유사의복 제조업 외 2 종",티셔츠.남방
43,(주)샤빈코리아,"서울특별시 중랑구 동일로100길 70, 1층 (면목동)",기타 전기 변환장치 제조업 외 2 종,"무정전전원공급장치,AVR,RECT, AVR, RECT"
44,(주)서야에프씨,"서울특별시 중랑구 봉화산로 123, 5층 504호(상봉동, 신내테크노타운) 5층 504호 외 1필지",남자용 겉옷 제조업 외 5 종,"셔츠 및 블라우스, 체육복 및 근무복, 작업복"
45,(주)선향,"서울특별시 중랑구 동일로129길 35, 214,215,216호 (중화동, 태능시장 주상복합빌딩)","천막, 텐트 및 유사 제품 제조업 외 9 종",의류
46,(주)솔라쉔커,"서울특별시 중랑구 신내역로3길 40-36, A동 402호 (신내동) A동 402호",간판 및 광고물 제조업 외 4 종,태양광제품
47,(주)스타하트,서울특별시 중랑구 면목로 378 (면목동),그 외 기타 의복액세서리 제조업 외 1 종,가방및팬시(잡화)
48,(주)신명훠스트,"서울특별시 중랑구 봉화산로 123, 7층 704호 (상봉동, 신내테크노타운)",셔츠 및 블라우스 제조업 외 9 종,"티셔츠,스포츠웨어"
49,(주)신성모자,"서울특별시 중랑구 봉화산로 123, 805호 (상봉동)",모자 제조업,모자
50,(주)신호에이피엘,"서울특별시 중랑구 신내역로 111, 423호(신내동) 423호 외 1필지","근무복, 작업복 및 유사의복 제조업 외 9 종","티셔츠, 점퍼, 자켓, 바지, 셔츠 등"
51,(주)써머,서울특별시 중랑구 용마산로94길 32 (면목동),가방 및 기타 보호용 케이스 제조업,가방.핸드백.지갑
52,(주)썸미트어패럴,"서울특별시 중랑구 용마산로 515, 대성빌딩 3층, 4층 (망우동)",편조의복 제조업,니트웨어
53,(주)씨디에프아이티,서울특별시 중랑구 면목로34길 20 (면목동),전시 및 광고용 조명장치 제조업,비상구표시등
54,(주)씨디에프아이티,"서울특별시 중랑구 사가정로42길 71, 2층(면목동, gak빌딩)",전시 및 광고용 조명장치 제조업,음성점멸 피난구유도등
55,(주)씨제이디푸드시스템,서울특별시 중랑구 양원역로16길 103-79 (망우동),천연 및 혼합조제 조미료 제조업,조미식품
56,(주)아리움,"서울특별시 중랑구 동일로144길 31, 2층 (묵동)",그 외 기타 전기장비 제조업,이온화장치
57,(주)아이디솔루션스,서울특별시 중랑구 동일로136길 28 (중화동),그 외 기타 가구 제조업,진열대
58,(주)아진통상,서울특별시 중랑구 신내역로3길 40-36 (신내동),전시용 모형 제조업,핫픽스
59,(주)아트랑,서울특별시 중랑구 중랑천로 150 (중화동),가방 및 기타 보호용 케이스 제조업,핸드폰악세사리외
60,(주)알앤디씨,"서울특별시 중랑구 신내역로3길 40-36, B동 B-411호(신내동) B동 B-411호",그 외 기타 특수목적용 기계 제조업,산업용기계 및 전자제품
61,(주)업데이트,서울특별시 중랑구 사가정로54길 58-4 (면목동),"근무복, 작업복 및 유사의복 제조업 외 2 종",기성복
62,(주)에스디에스테크놀로지,"서울특별시 중랑구 중랑천로 314, 지하1층 (묵동)",방송장비 제조업,"CCTV카메라,라디오중계장비"
63,(주)에스아이세일기업,"서울특별시 중랑구 봉화산로 209, 혜남빌딩 4층 (신내동)",전시용 모형 제조업,건물모형(전시용)
64,(주)에스앤티랩,"서울특별시 중랑구 신내역로3길 40-36, A동동 A-806호(신내동) A동동 A-806호","물질 검사, 측정 및 분석기구 제조업",광학식 표면측정기 및 그 부분품
65,(주)에스제이홀리컴퍼니,"서울특별시 중랑구 용마산로 531, 지층 (망우동, 망우빌딩)",핸드백 및 지갑 제조업 외 4 종,가방
66,(주)에스제이홀리컴퍼니(면목지사),"서울특별시 중랑구 봉우재로 120, 지층 (면목동, 재동의원)",속옷 및 잠옷 제조업 외 4 종,의류
67,(주)에스피플러스,"서울특별시 중랑구 겸재로7길 52 (면목동, 삼일아트빌)",간판 및 광고물 제조업,간판
68,(주)에이엠에스어패럴,"서울특별시 중랑구 봉화산로 123, 901호 (상봉동)",셔츠 및 블라우스 제조업 외 3 종,"티셔츠,니트바지"
69,(주)에이치에스어패럴,"서울특별시 중랑구 겸재로15길 21, 지층 (면목동)","근무복, 작업복 및 유사의복 제조업 외 29 종","의류,유니폼"
70,(주)에이티전자통신,서울특별시 중랑구 동일로123나길 6 (중화동),배전반 및 전기 자동제어반 제조업,자동제어반
71,(주)에이플러스스포츠,"서울특별시 중랑구 용마산로 456 (망우동, 평화로운교회)",셔츠 및 블라우스 제조업 외 1 종,티셔츠 및 트레이닝복
72,(주)엠씨미디어솔루션,"서울특별시 중랑구 신내역로 111, A동 1105호(신내동) A동 1105호 외 1필지",기타 주변기기 제조업 외 4 종,멀티미디어학습장비
73,(주)영하산업,"서울특별시 중랑구 겸재로 229 (면목동, 농협)",가방 및 기타 보호용 케이스 제조업,카메라가방
74,(주)오픈웍스,"서울특별시 중랑구 봉화산로 121, 대화빌딩 7층 (상봉동)",방송장비 제조업 외 3 종,폐쇄회로 카메라(cctv)
75,(주)옷잘입는 언니,서울특별시 중랑구 신내역로3길 40-36 (신내동) A동 지상7층 A-702호,남자용 겉옷 제조업 외 5 종,"여성의류, 남성의류"
76,(주)와이비물산,"서울특별시 중랑구 겸재로 73 (면목동, 혜승빌딩)",가죽의복 제조업,피혁의류
77,(주)와이이코퍼레이션,"서울특별시 중랑구 신내역로3길 40-36,(신내동, 신내 데시앙플렉스 지식산업센터) A동 2층 207~210호",여자용 겉옷 제조업,여성의류
78,(주)완수생,"서울특별시 중랑구 용마산로 334, 503호 (면목동)",그 외 기타 의료용 기기 제조업,의료용구및컴퓨터
79,(주)우리애그린,"서울특별시 중랑구 신내역로 111, B동 B137호(신내동) B동 B137호",그 외 기타 나무제품 제조업,도시농업용 원목 텃밭상자
80,(주)웰컴코퍼레이션,서울특별시 중랑구 신내역로3길 40-36 (신내동) A동 지상8층 A-817호,여자용 겉옷 제조업 외 2 종,"여성블라우스,정장,바지,패딩,원피스"
81,(주)유진에스앤에이,"서울특별시 중랑구 신내역로3길 40-36, (신내동, 신내 데시앙플렉스 지식산업센터) A동 9층 904호",침구 및 관련제품 제조업 외 10 종,"침구, 기타 직물, 세폭직물, 남자용 겉옷, 여자용 겉옷, 모피, 셔츠, 블라우스, 근무복, 작업복, 유아 의복, 봉제 의복, 기타 의복"
82,(주)윤우테크,"서울특별시 중랑구 신내역로 111, (신내동, 신내 SK V1 center) A동 4층 410호",전기경보 및 신호장치 제조업 외 2 종,"전기 경보 및 신호장치, 배전반 및 전기 자동제어반, 주차관제 주변기기"
83,(주)이노아이코리아,"서울특별시 중랑구 중랑역로 204, 2층(묵동, 민선빌딩)","근무복, 작업복 및 유사의복 제조업 외 16 종",의류
84,(주)이레인더스트리,"서울특별시 중랑구 봉우재로 167, 4층 (상봉동)",침구 및 관련제품 제조업 외 13 종,"의류,자켓,바지,내의"
85,(주)이티엑스,"서울특별시 중랑구 신내역로 111, (신내동, 신내 SK V1 center) A동 10층 1003호",교통 신호장치 제조업 외 3 종,"교통신호장치, 일반용 전기조명, 기타 무선통신장비, 전자감지장치"
86,(주)인덱스에프앤씨,"서울특별시 중랑구 봉우재로71길 18, 202호 일부(망우동, 용마프라자)","천막, 텐트 및 유사 제품 제조업 외 6 종","천막, 텐트, 남자용 겉옷, 여자용 겉옷, 속옷 및 잠옷, 셔츠 및 블라우스, 근무복, 작업복, 기타 봉제의복"
87,(주)인사이트드림,"서울특별시 중랑구 신내역로3길 40-36, A동동 A-509호(신내동) A동동 A-509호",남자용 겉옷 제조업 외 5 종,"여성의류, 남성의류"
88,(주)정수글로벌,"서울특별시 중랑구 중랑천로 105, 지층(중화동, ABC square)",기타 주변기기 제조업 외 2 종,"컴퓨터주변기기, 도서관리시스템, 방역장비, 출입관리시스템"
89,(주)제이씨앤씨,"서울특별시 중랑구 겸재로 94, 지층 (면목동)",세폭직물 제조업 외 2 종,카본섬유열선직조
90,(주)제이아이에프앤씨,"서울특별시 중랑구 용마산로 480, 2층(망우동)",침구 및 관련제품 제조업 외 9 종,"의류, 유니폼 외"
91,(주)제이와이어페럴,"서울특별시 중랑구 신내역로3길 40-36,(신내동, 신내 데시앙플렉스 지식산업센터) A동동 지상5층층 A-510호",셔츠 및 블라우스 제조업,"셔츠,티셔츠,팬츠,점퍼,자켓"
92,(주)제이치물산,"서울특별시 중랑구 면목로 224, 2층 (면목동, 신광빌딩)",그 외 기타 분류 안된 화학제품 제조업 외 1 종,광촉매
93,(주)중앙세경산업사,서울특별시 중랑구 봉화산로54길 28 (신내동),기타 인쇄업 외 3 종,"봉투, 문구용품"
94,(주)지은,"서울특별시 중랑구 망우로 177, 5층 (중화동)","근무복, 작업복 및 유사의복 제조업 외 3 종",의류
95,(주)지하우스코리아,서울특별시 중랑구 면목로 251 (면목동),가방 및 기타 보호용 케이스 제조업,가방
96,(주)카디오텍,"서울특별시 중랑구 봉화산로 123, 신내테크노타운 305 (상봉동)",체외 진단 시약 제조업 외 2 종,벌룬스텐트
97,(주)캐리어현대산업,서울특별시 중랑구 봉우재로 75 (상봉동),산업용 냉장 및 냉동 장비 제조업,"냉동,냉장고"
98,(주)큰솔애드,"서울특별시 중랑구 양원역로16길 103-13, B동 (망우동)",간판 및 광고물 제조업 외 3 종,"금속가공채널, 아크릴가공, 알루미늄후레임, 간판 등"
99,(주)큰솔애드컴,"서울특별시 중랑구 양원역로16길 103-15, 1층,2층 (망우동)",간판 및 광고물 제조업 외 4 종,간판 및 광고물외
100,(주)클라루스,"서울특별시 중랑구 면목로34길 5, 지1층(면목동) 외 2필지",일반용 전기 조명장치 제조업 외 6 종,"전기제어장치, 조명제어장치"
101,(주)태능쇼핑백,"서울특별시 중랑구 용마산로 717, 지층,1층 (신내동)",종이 포대 및 가방 제조업,쇼핑백
102,(주)태성어패럴,"서울특별시 중랑구 면목로 355, 지층,2층 (면목동, 삼일아파트)","근무복, 작업복 및 유사의복 제조업 외 11 종",의류
103,(주)태신리더스,"서울특별시 중랑구 용마산로 473, 3층(망우동)",침구 및 관련제품 제조업 외 19 종,"의류, 자켓, 바지, 내의, 모자, 양말, 신발 등"
104,(주)티앤터,"서울특별시 중랑구 용마공원로 33-1, 지하1층 (망우동)",침구 및 관련제품 제조업 외 2 종,누비
105,(주)티에이디에이브이,"서울특별시 중랑구 봉화산로 123, 신내테크노타운 402-1 (상봉동)",기타 음향기기 제조업 외 1 종,마이크로폰
106,(주)파티마엔지니어링,"서울특별시 중랑구 봉우재로1길 9 (면목동, patima)",일반용 전기 조명장치 제조업 외 7 종,수중영상장비
107,(주)포피플,"서울특별시 중랑구 중랑역로 81, 3층 (중화동)",침구 및 관련제품 제조업 외 16 종,침구 및 의류제품
108,(주)피앤아이,"서울특별시 중랑구 봉화산로 123, 405호 (상봉동) 외 1필지",플라스틱 접착처리 제품 제조업 외 1 종,표면처리제품
109,(주)피에조테크놀리지,"서울특별시 중랑구 봉화산로 123, 501호 (상봉동)",전동기 및 발전기 제조업 외 2 종,"초음파모터,압전액츄에이터"
110,(주)필국제무역,"서울특별시 중랑구 망우로 439, 4층 (망우동)",침구 및 관련제품 제조업 외 2 종,"페브릭,인테리어소품"
111,(주)하나로클린,"서울특별시 중랑구 신내역로 111,(신내동, 신내 SK V1 center) B동 5층 539호",구조용 금속 판제품 및 공작물 제조업 외 4 종,"하수악취차단장치 사출물, 그레이팅 덮개 사출물, 논슬립 알루미늄 베이스, 논슬립 패드, 재활용품 자동회수기 부품"
112,(주)한국환경과학,"서울특별시 중랑구 용마산로116길 6, 203호(망우동, 아름빌딩)",액체 여과기 제조업 외 1 종,"폐수처리장치, 환경설비건설업, 오수 및 수도 처리장, 냄새방지 기기 제조, 그 외 기타 전기장비 제조"
113,(주)한빛파워텍,"서울특별시 중랑구 신내역로3길 40-36, A동동 A-306호(신내동) A동동 A-306호 외 2필지",배전반 및 전기 자동제어반 제조업,"폐쇄형 배전반, 보호배전반, 전동기제어반, 분전반"
114,(주)한산이앤피,"서울특별시 중랑구 신내역로3길 40-36, A동 803호 (신내동) A동 803호",배전반 및 전기 자동제어반 제조업,외부 바이패스 판넬
115,(주)현대방지기,"서울특별시 중랑구 중랑천로 362 (묵동, 유니온카센타)","전기회로 개폐, 보호장치 제조업 외 1 종",안전기
116,(주)화남,"서울특별시 중랑구 봉우재로1길 3, 1층 (면목동, 성경빌딩)","근무복, 작업복 및 유사의복 제조업","근무복,작업복"
117,(주)화산에스티아이,"서울특별시 중랑구 면목로 278, 3층(면목동)",유선 통신장비 제조업 외 2 종,"방송장치, 통신장비"
118,E-라인,"서울특별시 중랑구 봉우재로 228, 지층 (망우동)",셔츠 및 블라우스 제조업 외 10 종,의류
119,GNP어패럴,"서울특별시 중랑구 용마산로 440, 2층 (면목동)",셔츠 및 블라우스 제조업 외 1 종,의류
120,G랜드,"서울특별시 중랑구 면목로38길 17, 지층,1층 (면목동)",셔츠 및 블라우스 제조업 외 4 종,의류
121,S&C파워시스템,"서울특별시 중랑구 동일로 769, 401호(중화동, 성심빌딩)(중화동)",기타 전기 변환장치 제조업,기타 전기변환 장치
122,UI스포츠,"서울특별시 중랑구 사가정로50길 36, 지층 (면목동, 은창빌딩)",남자용 겉옷 제조업 외 9 종,의류
123,㈜ 이노박스,"서울특별시 중랑구 봉우재로 91, 3층 (상봉동)",여자용 겉옷 제조업 외 23 종,의류
